method,drug,metric,value
BC-Curated,aspirin,kappa,1.0
BC-EmbedEq,aspirin,precision,0.9622641509433962
BC-EmbedEq,aspirin,recall,0.68
BC-EmbedEq,aspirin,f1,0.796875
BC-EmbedEq,aspirin,accuracy,0.9522058823529411
BC-EmbedEq,aspirin,specificity,0.9957356076759062
BC-EmbedEq,aspirin,kappa,0.7706948542524559
BC-Final,aspirin,precision,0.974025974025974
BC-Final,aspirin,recall,1.0
BC-Final,aspirin,f1,0.9868421052631579
BC-Final,aspirin,accuracy,0.9963235294117647
BC-Final,aspirin,specificity,0.9957356076759062
BC-Final,aspirin,kappa,0.9847057831257556
gpt,aspirin,precision,1.0
gpt,aspirin,recall,0.22666666666666666
gpt,aspirin,f1,0.3695652173913044
gpt,aspirin,accuracy,0.8933823529411765
gpt,aspirin,specificity,1.0
gpt,aspirin,kappa,0.33571939871152506
grok,aspirin,precision,0.0
grok,aspirin,recall,0.0
grok,aspirin,f1,0.0
grok,aspirin,accuracy,0.8621323529411765
grok,aspirin,specificity,1.0
grok,aspirin,kappa,0.0
gemini,aspirin,precision,0.15182186234817813
gemini,aspirin,recall,1.0
gemini,aspirin,f1,0.26362038664323373
gemini,aspirin,accuracy,0.22977941176470587
gemini,aspirin,specificity,0.10660980810234541
gemini,aspirin,kappa,0.0318557909580523
llama,aspirin,precision,1.0
llama,aspirin,recall,0.4533333333333333
llama,aspirin,f1,0.6238532110091742
llama,aspirin,accuracy,0.9246323529411765
llama,aspirin,specificity,1.0
llama,aspirin,kappa,0.5884567126725222
BC-FuzzyEq,simvastatin,precision,1.0
BC-FuzzyEq,simvastatin,recall,0.2777777777777778
BC-FuzzyEq,simvastatin,f1,0.4347826086956522
BC-FuzzyEq,simvastatin,accuracy,0.9761029411764706
BC-FuzzyEq,simvastatin,specificity,1.0
BC-FuzzyEq,simvastatin,kappa,0.42653259811871425
BC-Curated,simvastatin,precision,1.0
BC-Curated,simvastatin,recall,1.0
BC-Curated,simvastatin,f1,1.0
BC-Curated,simvastatin,accuracy,1.0
BC-Curated,simvastatin,specificity,1.0
BC-Curated,simvastatin,kappa,1.0
BC-EmbedEq,simvastatin,precision,1.0
BC-EmbedEq,simvastatin,recall,0.5
BC-EmbedEq,simvastatin,f1,0.6666666666666666
BC-EmbedEq,simvastatin,accuracy,0.9834558823529411
BC-EmbedEq,simvastatin,specificity,1.0
BC-EmbedEq,simvastatin,kappa,0.6591478696741842
BC-Final,simvastatin,precision,1.0
BC-Final,simvastatin,recall,1.0
BC-Final,simvastatin,f1,1.0
BC-Final,simvastatin,accuracy,1.0
BC-Final,simvastatin,specificity,1.0
BC-Final,simvastatin,kappa,1.0
gpt,simvastatin,precision,1.0
gpt,simvastatin,recall,0.3333333333333333
gpt,simvastatin,f1,0.5
gpt,simvastatin,accuracy,0.9779411764705882
gpt,simvastatin,specificity,1.0
gpt,simvastatin,kappa,0.49158878504672837
grok,simvastatin,precision,1.0
grok,simvastatin,recall,0.5555555555555556
grok,simvastatin,f1,0.7142857142857143
grok,simvastatin,accuracy,0.9852941176470589
grok,simvastatin,specificity,1.0
grok,simvastatin,kappa,0.7073695535234008
gemini,simvastatin,precision,1.0
gemini,simvastatin,recall,0.3333333333333333
gemini,simvastatin,f1,0.5
gemini,simvastatin,accuracy,0.9779411764705882
gemini,simvastatin,specificity,1.0
gemini,simvastatin,kappa,0.49158878504672837
llama,simvastatin,precision,1.0
llama,simvastatin,recall,0.2777777777777778
llama,simvastatin,f1,0.4347826086956522
llama,simvastatin,accuracy,0.9761029411764706
llama,simvastatin,specificity,1.0
llama,simvastatin,kappa,0.42653259811871425
BC-FuzzyEq,hydrocortisone,precision,1.0
BC-FuzzyEq,hydrocortisone,recall,0.017543859649122806
BC-FuzzyEq,hydrocortisone,f1,0.034482758620689655
BC-FuzzyEq,hydrocortisone,accuracy,0.7941176470588235
BC-FuzzyEq,hydrocortisone,specificity,1.0
BC-FuzzyEq,hydrocortisone,kappa,0.027454986591750476
BC-Curated,hydrocortisone,precision,1.0
BC-Curated,hydrocortisone,recall,1.0
BC-Curated,hydrocortisone,f1,1.0
BC-Curated,hydrocortisone,accuracy,1.0
BC-Curated,hydrocortisone,specificity,1.0
BC-Curated,hydrocortisone,kappa,1.0
BC-EmbedEq,hydrocortisone,precision,0.9523809523809523
BC-EmbedEq,hydrocortisone,recall,0.3508771929824561
BC-EmbedEq,hydrocortisone,f1,0.5128205128205128
BC-EmbedEq,hydrocortisone,accuracy,0.8602941176470589
BC-EmbedEq,hydrocortisone,specificity,0.9953488372093023
BC-EmbedEq,hydrocortisone,kappa,0.45085538199978775
BC-Final,hydrocortisone,precision,0.9827586206896551
BC-Final,hydrocortisone,recall,1.0
BC-Final,hydrocortisone,f1,0.9913043478260869
BC-Final,hydrocortisone,accuracy,0.9963235294117647
BC-Final,hydrocortisone,specificity,0.9953488372093023
BC-Final,hydrocortisone,kappa,0.9889735689962705
gpt,hydrocortisone,precision,1.0
gpt,hydrocortisone,recall,0.16666666666666666
gpt,hydrocortisone,f1,0.2857142857142857
gpt,hydrocortisone,accuracy,0.8253676470588235
gpt,hydrocortisone,specificity,1.0
gpt,hydrocortisone,kappa,0.24022346368715072
grok,hydrocortisone,precision,0.8240740740740741
grok,hydrocortisone,recall,0.7807017543859649
grok,hydrocortisone,f1,0.8018018018018018
grok,hydrocortisone,accuracy,0.9191176470588235
grok,hydrocortisone,specificity,0.9558139534883721
grok,hydrocortisone,kappa,0.7510401065069061
gemini,hydrocortisone,precision,0.8125
gemini,hydrocortisone,recall,0.34210526315789475
gemini,hydrocortisone,f1,0.4814814814814815
gemini,hydrocortisone,accuracy,0.8455882352941176
gemini,hydrocortisone,specificity,0.9790697674418605
gemini,hydrocortisone,kappa,0.40796019900497515
llama,hydrocortisone,precision,1.0
llama,hydrocortisone,recall,0.11403508771929824
llama,hydrocortisone,f1,0.2047244094488189
llama,hydrocortisone,accuracy,0.8143382352941176
llama,hydrocortisone,specificity,1.0
llama,hydrocortisone,kappa,0.16907628092674382
BC-FuzzyEq,levonorgestrel,precision,1.0
BC-FuzzyEq,levonorgestrel,recall,0.029850746268656716
BC-FuzzyEq,levonorgestrel,f1,0.05797101449275362
BC-FuzzyEq,levonorgestrel,accuracy,0.8805147058823529
BC-FuzzyEq,levonorgestrel,specificity,1.0
BC-FuzzyEq,levonorgestrel,kappa,0.05119673714715037
BC-Curated,levonorgestrel,precision,1.0
BC-Curated,levonorgestrel,recall,1.0
BC-Curated,levonorgestrel,f1,1.0
BC-Curated,levonorgestrel,accuracy,1.0
BC-Curated,levonorgestrel,specificity,1.0
BC-Curated,levonorgestrel,kappa,1.0
BC-EmbedEq,levonorgestrel,precision,1.0
BC-EmbedEq,levonorgestrel,recall,0.6865671641791045
BC-EmbedEq,levonorgestrel,f1,0.8141592920353982
BC-EmbedEq,levonorgestrel,accuracy,0.9613970588235294
BC-EmbedEq,levonorgestrel,specificity,1.0
BC-EmbedEq,levonorgestrel,kappa,0.793447602516815
BC-Final,levonorgestrel,precision,1.0
BC-Final,levonorgestrel,recall,1.0
BC-Final,levonorgestrel,f1,1.0
BC-Final,levonorgestrel,accuracy,1.0
BC-Final,levonorgestrel,specificity,1.0
BC-Final,levonorgestrel,kappa,1.0
gpt,levonorgestrel,precision,1.0
gpt,levonorgestrel,recall,0.417910447761194
gpt,levonorgestrel,f1,0.5894736842105264
gpt,levonorgestrel,accuracy,0.9283088235294118
gpt,levonorgestrel,specificity,1.0
gpt,levonorgestrel,kappa,0.5573360040060091
grok,levonorgestrel,precision,1.0
grok,levonorgestrel,recall,0.7910447761194029
grok,levonorgestrel,f1,0.8833333333333333
grok,levonorgestrel,accuracy,0.9742647058823529
grok,levonorgestrel,specificity,1.0
grok,levonorgestrel,kappa,0.8690914091237236
gemini,levonorgestrel,precision,1.0
gemini,levonorgestrel,recall,0.4925373134328358
gemini,levonorgestrel,f1,0.66
gemini,levonorgestrel,accuracy,0.9375
gemini,levonorgestrel,specificity,1.0
gemini,levonorgestrel,kappa,0.6299171635519629
llama,levonorgestrel,precision,1.0
llama,levonorgestrel,recall,0.4626865671641791
llama,levonorgestrel,f1,0.6326530612244898
llama,levonorgestrel,accuracy,0.9338235294117647
llama,levonorgestrel,specificity,1.0
llama,levonorgestrel,kappa,0.6016111314536801
BC-FuzzyEq,prednisolone,precision,1.0
BC-FuzzyEq,prednisolone,recall,0.08333333333333333
BC-FuzzyEq,prednisolone,f1,0.15384615384615385
BC-FuzzyEq,prednisolone,accuracy,0.9595588235294118
BC-FuzzyEq,prednisolone,specificity,1.0
BC-FuzzyEq,prednisolone,kappa,0.14806378132118592
BC-Curated,prednisolone,precision,1.0
BC-Curated,prednisolone,recall,1.0
BC-Curated,prednisolone,f1,1.0
BC-Curated,prednisolone,accuracy,1.0
BC-Curated,prednisolone,specificity,1.0
BC-Curated,prednisolone,kappa,1.0
BC-EmbedEq,prednisolone,precision,0.8333333333333334
BC-EmbedEq,prednisolone,recall,0.20833333333333334
BC-EmbedEq,prednisolone,f1,0.33333333333333337
BC-EmbedEq,prednisolone,accuracy,0.9632352941176471
BC-EmbedEq,prednisolone,specificity,0.9980769230769231
BC-EmbedEq,prednisolone,kappa,0.32135728542914194
BC-Final,prednisolone,precision,0.96
BC-Final,prednisolone,recall,1.0
BC-Final,prednisolone,f1,0.9795918367346939
BC-Final,prednisolone,accuracy,0.9981617647058824
BC-Final,prednisolone,specificity,0.9980769230769231
BC-Final,prednisolone,kappa,0.9786297925832811
gpt,prednisolone,precision,1.0
gpt,prednisolone,recall,0.041666666666666664
gpt,prednisolone,f1,0.07999999999999999
gpt,prednisolone,accuracy,0.9577205882352942
gpt,prednisolone,specificity,1.0
gpt,prednisolone,kappa,0.07674144037780481
grok,prednisolone,precision,0.9
grok,prednisolone,recall,0.375
grok,prednisolone,f1,0.5294117647058825
grok,prednisolone,accuracy,0.9705882352941176
grok,prednisolone,specificity,0.9980769230769231
grok,prednisolone,kappa,0.5168738898756664
gemini,prednisolone,precision,0.15555555555555556
gemini,prednisolone,recall,0.2916666666666667
gemini,prednisolone,f1,0.2028985507246377
gemini,prednisolone,accuracy,0.8988970588235294
gemini,prednisolone,specificity,0.926923076923077
gemini,prednisolone,kappa,0.15422885572139328
llama,prednisolone,precision,1.0
llama,prednisolone,recall,0.08333333333333333
llama,prednisolone,f1,0.15384615384615385
llama,prednisolone,accuracy,0.9595588235294118
llama,prednisolone,specificity,1.0
llama,prednisolone,kappa,0.14806378132118592
BC-FuzzyEq,ciprofloxacin,precision,1.0
BC-FuzzyEq,ciprofloxacin,recall,0.26666666666666666
BC-FuzzyEq,ciprofloxacin,f1,0.4210526315789474
BC-FuzzyEq,ciprofloxacin,accuracy,0.9797794117647058
BC-FuzzyEq,ciprofloxacin,specificity,1.0
BC-FuzzyEq,ciprofloxacin,kappa,0.41425215348472966
BC-Curated,ciprofloxacin,precision,1.0
BC-Curated,ciprofloxacin,recall,1.0
BC-Curated,ciprofloxacin,f1,1.0
BC-Curated,ciprofloxacin,accuracy,1.0
BC-Curated,ciprofloxacin,specificity,1.0
BC-Curated,ciprofloxacin,kappa,1.0
BC-EmbedEq,ciprofloxacin,precision,0.8571428571428571
BC-EmbedEq,ciprofloxacin,recall,0.4
BC-EmbedEq,ciprofloxacin,f1,0.5454545454545455
BC-EmbedEq,ciprofloxacin,accuracy,0.9816176470588235
BC-EmbedEq,ciprofloxacin,specificity,0.998109640831758
BC-EmbedEq,ciprofloxacin,kappa,0.5373362816805571
BC-Final,ciprofloxacin,precision,0.9375
BC-Final,ciprofloxacin,recall,1.0
BC-Final,ciprofloxacin,f1,0.967741935483871
BC-Final,ciprofloxacin,accuracy,0.9981617647058824
BC-Final,ciprofloxacin,specificity,0.998109640831758
BC-Final,ciprofloxacin,kappa,0.9667968750000001
gpt,ciprofloxacin,precision,0.8
gpt,ciprofloxacin,recall,0.26666666666666666
gpt,ciprofloxacin,f1,0.4
gpt,ciprofloxacin,accuracy,0.9779411764705882
gpt,ciprofloxacin,specificity,0.998109640831758
gpt,ciprofloxacin,kappa,0.3916123019571288
grok,ciprofloxacin,precision,0.8571428571428571
grok,ciprofloxacin,recall,0.4
grok,ciprofloxacin,f1,0.5454545454545455
grok,ciprofloxacin,accuracy,0.9816176470588235
grok,ciprofloxacin,specificity,0.998109640831758
grok,ciprofloxacin,kappa,0.5373362816805571
gemini,ciprofloxacin,precision,0.0
gemini,ciprofloxacin,recall,0.0
gemini,ciprofloxacin,f1,0.0
gemini,ciprofloxacin,accuracy,0.9724264705882353
gemini,ciprofloxacin,specificity,1.0
gemini,ciprofloxacin,kappa,0.0
llama,ciprofloxacin,precision,1.0
llama,ciprofloxacin,recall,0.3333333333333333
llama,ciprofloxacin,f1,0.5
llama,ciprofloxacin,accuracy,0.9816176470588235
llama,ciprofloxacin,specificity,1.0
llama,ciprofloxacin,kappa,0.49301025163094014
BC-FuzzyEq,methotrexate,precision,1.0
BC-FuzzyEq,methotrexate,recall,0.10344827586206896
BC-FuzzyEq,methotrexate,f1,0.1875
BC-FuzzyEq,methotrexate,accuracy,0.9522058823529411
BC-FuzzyEq,methotrexate,specificity,1.0
BC-FuzzyEq,methotrexate,kappa,0.1792967390042931
BC-Curated,methotrexate,precision,1.0
BC-Curated,methotrexate,recall,1.0
BC-Curated,methotrexate,f1,1.0
BC-Curated,methotrexate,accuracy,1.0
BC-Curated,methotrexate,specificity,1.0
BC-Curated,methotrexate,kappa,1.0
BC-EmbedEq,methotrexate,precision,1.0
BC-EmbedEq,methotrexate,recall,0.5172413793103449
BC-EmbedEq,methotrexate,f1,0.6818181818181819
BC-EmbedEq,methotrexate,accuracy,0.9742647058823529
BC-EmbedEq,methotrexate,specificity,1.0
BC-EmbedEq,methotrexate,kappa,0.6698170467354547
BC-Final,methotrexate,precision,1.0
BC-Final,methotrexate,recall,1.0
BC-Final,methotrexate,f1,1.0
BC-Final,methotrexate,accuracy,1.0
BC-Final,methotrexate,specificity,1.0
BC-Final,methotrexate,kappa,1.0
gpt,methotrexate,precision,1.0
gpt,methotrexate,recall,0.3448275862068966
gpt,methotrexate,f1,0.5128205128205129
gpt,methotrexate,accuracy,0.9650735294117647
gpt,methotrexate,specificity,1.0
gpt,methotrexate,kappa,0.49912773793370857
grok,methotrexate,precision,1.0
grok,methotrexate,recall,0.5517241379310345
grok,methotrexate,f1,0.7111111111111111
grok,methotrexate,accuracy,0.9761029411764706
grok,methotrexate,specificity,1.0
grok,methotrexate,kappa,0.6997282608695649
gemini,methotrexate,precision,1.0
gemini,methotrexate,recall,0.41379310344827586
gemini,methotrexate,f1,0.5853658536585366
gemini,methotrexate,accuracy,0.96875
gemini,methotrexate,specificity,1.0
gemini,methotrexate,kappa,0.5720103665309142
llama,methotrexate,precision,1.0
llama,methotrexate,recall,0.27586206896551724
llama,methotrexate,f1,0.4324324324324324
llama,methotrexate,accuracy,0.9613970588235294
llama,methotrexate,specificity,1.0
llama,methotrexate,kappa,0.4190398698128565
BC-FuzzyEq,denosumab,precision,1.0
BC-FuzzyEq,denosumab,recall,0.20833333333333334
BC-FuzzyEq,denosumab,f1,0.3448275862068966
BC-FuzzyEq,denosumab,accuracy,0.9650735294117647
BC-FuzzyEq,denosumab,specificity,1.0
BC-FuzzyEq,denosumab,kappa,0.33470648815653925
BC-Curated,denosumab,precision,1.0
BC-Curated,denosumab,recall,1.0
BC-Curated,denosumab,f1,1.0
BC-Curated,denosumab,accuracy,1.0
BC-Curated,denosumab,specificity,1.0
BC-Curated,denosumab,kappa,1.0
BC-EmbedEq,denosumab,precision,1.0
BC-EmbedEq,denosumab,recall,0.6666666666666666
BC-EmbedEq,denosumab,f1,0.8
BC-EmbedEq,denosumab,accuracy,0.9852941176470589
BC-EmbedEq,denosumab,specificity,1.0
BC-EmbedEq,denosumab,kappa,0.792682926829269
BC-Final,denosumab,precision,1.0
BC-Final,denosumab,recall,1.0
BC-Final,denosumab,f1,1.0
BC-Final,denosumab,accuracy,1.0
BC-Final,denosumab,specificity,1.0
BC-Final,denosumab,kappa,1.0
gpt,denosumab,precision,1.0
gpt,denosumab,recall,0.375
gpt,denosumab,f1,0.5454545454545454
gpt,denosumab,accuracy,0.9724264705882353
gpt,denosumab,specificity,1.0
gpt,denosumab,kappa,0.5342465753424656
grok,denosumab,precision,1.0
grok,denosumab,recall,0.5833333333333334
grok,denosumab,f1,0.7368421052631579
grok,denosumab,accuracy,0.9816176470588235
grok,denosumab,specificity,1.0
grok,denosumab,kappa,0.7279999999999993
gemini,denosumab,precision,0.8823529411764706
gemini,denosumab,recall,0.625
gemini,denosumab,f1,0.7317073170731708
gemini,denosumab,accuracy,0.9797794117647058
gemini,denosumab,specificity,0.9961538461538462
gemini,denosumab,kappa,0.7215189873417717
llama,denosumab,precision,1.0
llama,denosumab,recall,0.20833333333333334
llama,denosumab,f1,0.3448275862068966
llama,denosumab,accuracy,0.9650735294117647
llama,denosumab,specificity,1.0
llama,denosumab,kappa,0.33470648815653925
BC-FuzzyEq,diazepam,precision,1.0
BC-FuzzyEq,diazepam,recall,0.06976744186046512
BC-FuzzyEq,diazepam,f1,0.13043478260869565
BC-FuzzyEq,diazepam,accuracy,0.9264705882352942
BC-FuzzyEq,diazepam,specificity,1.0
BC-FuzzyEq,diazepam,kappa,0.12137608010982882
BC-Curated,diazepam,precision,1.0
BC-Curated,diazepam,recall,1.0
BC-Curated,diazepam,f1,1.0
BC-Curated,diazepam,accuracy,1.0
BC-Curated,diazepam,specificity,1.0
BC-Curated,diazepam,kappa,1.0
BC-EmbedEq,diazepam,precision,0.8571428571428571
BC-EmbedEq,diazepam,recall,0.27906976744186046
BC-EmbedEq,diazepam,f1,0.4210526315789474
BC-EmbedEq,diazepam,accuracy,0.9393382352941176
BC-EmbedEq,diazepam,specificity,0.9960079840319361
BC-EmbedEq,diazepam,kappa,0.39766474298751847
BC-Final,diazepam,precision,0.9555555555555556
BC-Final,diazepam,recall,1.0
BC-Final,diazepam,f1,0.9772727272727273
BC-Final,diazepam,accuracy,0.9963235294117647
BC-Final,diazepam,specificity,0.9960079840319361
BC-Final,diazepam,kappa,0.9752738511885825
gpt,diazepam,precision,1.0
gpt,diazepam,recall,0.09302325581395349
gpt,diazepam,f1,0.1702127659574468
gpt,diazepam,accuracy,0.9283088235294118
gpt,diazepam,specificity,1.0
gpt,diazepam,kappa,0.15889628924833524
grok,diazepam,precision,1.0
grok,diazepam,recall,0.32558139534883723
grok,diazepam,f1,0.49122807017543857
grok,diazepam,accuracy,0.9466911764705882
grok,diazepam,specificity,1.0
grok,diazepam,kappa,0.4706750771708493
gemini,diazepam,precision,0.0836734693877551
gemini,diazepam,recall,0.9534883720930233
gemini,diazepam,f1,0.15384615384615385
gemini,diazepam,accuracy,0.17095588235294118
gemini,diazepam,specificity,0.10379241516966067
gemini,diazepam,kappa,0.009959162590996407
llama,diazepam,precision,0.9411764705882353
llama,diazepam,recall,0.37209302325581395
llama,diazepam,f1,0.5333333333333333
llama,diazepam,accuracy,0.9485294117647058
llama,diazepam,specificity,0.998003992015968
llama,diazepam,kappa,0.5114503816793889
BC-FuzzyEq,ivermectin,precision,1.0
BC-FuzzyEq,ivermectin,recall,0.10869565217391304
BC-FuzzyEq,ivermectin,f1,0.19607843137254902
BC-FuzzyEq,ivermectin,accuracy,0.9246323529411765
BC-FuzzyEq,ivermectin,specificity,1.0
BC-FuzzyEq,ivermectin,kappa,0.18252455651664032
BC-Curated,ivermectin,precision,1.0
BC-Curated,ivermectin,recall,1.0
BC-Curated,ivermectin,f1,1.0
BC-Curated,ivermectin,accuracy,1.0
BC-Curated,ivermectin,specificity,1.0
BC-Curated,ivermectin,kappa,1.0
BC-EmbedEq,ivermectin,precision,1.0
BC-EmbedEq,ivermectin,recall,0.5434782608695652
BC-EmbedEq,ivermectin,f1,0.704225352112676
BC-EmbedEq,ivermectin,accuracy,0.9613970588235294
BC-EmbedEq,ivermectin,specificity,1.0
BC-EmbedEq,ivermectin,kappa,0.685497191939214
BC-Final,ivermectin,precision,1.0
BC-Final,ivermectin,recall,1.0
BC-Final,ivermectin,f1,1.0
BC-Final,ivermectin,accuracy,1.0
BC-Final,ivermectin,specificity,1.0
BC-Final,ivermectin,kappa,1.0
gpt,ivermectin,precision,1.0
gpt,ivermectin,recall,0.13043478260869565
gpt,ivermectin,f1,0.23076923076923078
gpt,ivermectin,accuracy,0.9264705882352942
gpt,ivermectin,specificity,1.0
gpt,ivermectin,kappa,0.21546005191808482
grok,ivermectin,precision,1.0
grok,ivermectin,recall,0.30434782608695654
grok,ivermectin,f1,0.4666666666666667
grok,ivermectin,accuracy,0.9411764705882353
grok,ivermectin,specificity,1.0
grok,ivermectin,kappa,0.44475631538657806
gemini,ivermectin,precision,0.92
gemini,ivermectin,recall,0.5
gemini,ivermectin,f1,0.647887323943662
gemini,ivermectin,accuracy,0.9540441176470589
gemini,ivermectin,specificity,0.9959839357429718
gemini,ivermectin,kappa,0.6255918951657311
llama,ivermectin,precision,1.0
llama,ivermectin,recall,0.2826086956521739
llama,ivermectin,f1,0.4406779661016949
llama,ivermectin,accuracy,0.9393382352941176
llama,ivermectin,specificity,1.0
llama,ivermectin,kappa,0.4190291262135924
BC-FuzzyEq,salbutamol,precision,1.0
BC-FuzzyEq,salbutamol,recall,0.05128205128205128
BC-FuzzyEq,salbutamol,f1,0.09756097560975609
BC-FuzzyEq,salbutamol,accuracy,0.9319852941176471
BC-FuzzyEq,salbutamol,specificity,1.0
BC-FuzzyEq,salbutamol,kappa,0.09120462344229725
BC-Curated,salbutamol,precision,1.0
BC-Curated,salbutamol,recall,0.9230769230769231
BC-Curated,salbutamol,f1,0.9600000000000001
BC-Curated,salbutamol,accuracy,0.9944852941176471
BC-Curated,salbutamol,specificity,1.0
BC-Curated,salbutamol,kappa,0.9570435881238157
BC-EmbedEq,salbutamol,precision,1.0
BC-EmbedEq,salbutamol,recall,0.2564102564102564
BC-EmbedEq,salbutamol,f1,0.4081632653061224
BC-EmbedEq,salbutamol,accuracy,0.9466911764705882
BC-EmbedEq,salbutamol,specificity,1.0
BC-EmbedEq,salbutamol,kappa,0.39032307930128274
BC-Final,salbutamol,precision,1.0
BC-Final,salbutamol,recall,0.9230769230769231
BC-Final,salbutamol,f1,0.9600000000000001
BC-Final,salbutamol,accuracy,0.9944852941176471
BC-Final,salbutamol,specificity,1.0
BC-Final,salbutamol,kappa,0.9570435881238157
gpt,salbutamol,precision,1.0
gpt,salbutamol,recall,0.15384615384615385
gpt,salbutamol,f1,0.2666666666666667
gpt,salbutamol,accuracy,0.9393382352941176
gpt,salbutamol,specificity,1.0
gpt,salbutamol,kappa,0.25237381309345314
grok,salbutamol,precision,1.0
grok,salbutamol,recall,0.48717948717948717
grok,salbutamol,f1,0.6551724137931034
grok,salbutamol,accuracy,0.9632352941176471
grok,salbutamol,specificity,1.0
grok,salbutamol,kappa,0.6381775856335222
gemini,salbutamol,precision,0.9166666666666666
gemini,salbutamol,recall,0.28205128205128205
gemini,salbutamol,f1,0.4313725490196078
gemini,salbutamol,accuracy,0.9466911764705882
gemini,salbutamol,specificity,0.998019801980198
gemini,salbutamol,kappa,0.4115189495672931
llama,salbutamol,precision,1.0
llama,salbutamol,recall,0.5384615384615384
llama,salbutamol,f1,0.7000000000000001
llama,salbutamol,accuracy,0.9669117647058824
llama,salbutamol,specificity,1.0
llama,salbutamol,kappa,0.6841494097155022
BC-FuzzyEq,latanoprost,precision,1.0
BC-FuzzyEq,latanoprost,recall,0.26666666666666666
BC-FuzzyEq,latanoprost,f1,0.4210526315789474
BC-FuzzyEq,latanoprost,accuracy,0.9797794117647058
BC-FuzzyEq,latanoprost,specificity,1.0
BC-FuzzyEq,latanoprost,kappa,0.41425215348472966
BC-Curated,latanoprost,precision,1.0
BC-Curated,latanoprost,recall,1.0
BC-Curated,latanoprost,f1,1.0
BC-Curated,latanoprost,accuracy,1.0
BC-Curated,latanoprost,specificity,1.0
BC-Curated,latanoprost,kappa,1.0
BC-EmbedEq,latanoprost,precision,1.0
BC-EmbedEq,latanoprost,recall,0.3333333333333333
BC-EmbedEq,latanoprost,f1,0.5
BC-EmbedEq,latanoprost,accuracy,0.9816176470588235
BC-EmbedEq,latanoprost,specificity,1.0
BC-EmbedEq,latanoprost,kappa,0.49301025163094014
BC-Final,latanoprost,precision,1.0
BC-Final,latanoprost,recall,1.0
BC-Final,latanoprost,f1,1.0
BC-Final,latanoprost,accuracy,1.0
BC-Final,latanoprost,specificity,1.0
BC-Final,latanoprost,kappa,1.0
gpt,latanoprost,precision,1.0
gpt,latanoprost,recall,0.26666666666666666
gpt,latanoprost,f1,0.4210526315789474
gpt,latanoprost,accuracy,0.9797794117647058
gpt,latanoprost,specificity,1.0
gpt,latanoprost,kappa,0.41425215348472966
grok,latanoprost,precision,0.8571428571428571
grok,latanoprost,recall,0.4
grok,latanoprost,f1,0.5454545454545455
grok,latanoprost,accuracy,0.9816176470588235
grok,latanoprost,specificity,0.998109640831758
grok,latanoprost,kappa,0.5373362816805571
gemini,latanoprost,precision,0.8571428571428571
