method,gene,metric,value
BC-Curated,egfr,precision,1.0
BC-Curated,egfr,recall,1.0
BC-Curated,egfr,f1,1.0
BC-Curated,egfr,accuracy,1.0
BC-Curated,egfr,specificity,1.0
BC-Curated,egfr,kappa,1.0
BC-EmbedEq,egfr,precision,1.0
BC-EmbedEq,egfr,recall,0.3684210526315789
BC-EmbedEq,egfr,f1,0.5384615384615384
BC-EmbedEq,egfr,accuracy,0.9553903345724907
BC-EmbedEq,egfr,specificity,1.0
BC-EmbedEq,egfr,kappa,0.5202140309155766
BC-Final,egfr,precision,1.0
BC-Final,egfr,recall,1.0
BC-Final,egfr,f1,1.0
BC-Final,egfr,accuracy,1.0
BC-Final,egfr,specificity,1.0
BC-Final,egfr,kappa,1.0
gpt,egfr,precision,1.0
gpt,egfr,recall,0.15789473684210525
gpt,egfr,f1,0.2727272727272727
gpt,egfr,accuracy,0.9405204460966543
gpt,egfr,specificity,1.0
gpt,egfr,kappa,0.2584424534803585
grok,egfr,precision,1.0
grok,egfr,recall,0.42105263157894735
grok,egfr,f1,0.5925925925925926
grok,egfr,accuracy,0.9591078066914498
grok,egfr,specificity,1.0
grok,egfr,kappa,0.5747952291995976
gemini,egfr,precision,1.0
gemini,egfr,recall,0.3157894736842105
gemini,egfr,f1,0.4799999999999999
gemini,egfr,accuracy,0.9516728624535316
gemini,egfr,specificity,1.0
gemini,egfr,kappa,0.46175157765122343
llama,egfr,precision,1.0
llama,egfr,recall,0.3157894736842105
llama,egfr,f1,0.4799999999999999
llama,egfr,accuracy,0.9516728624535316
llama,egfr,specificity,1.0
llama,egfr,kappa,0.46175157765122343
BC-FuzzyEq,tp53,precision,1.0
BC-FuzzyEq,tp53,recall,0.06666666666666667
BC-FuzzyEq,tp53,f1,0.125
BC-FuzzyEq,tp53,accuracy,0.9479553903345725
BC-FuzzyEq,tp53,specificity,1.0
BC-FuzzyEq,tp53,kappa,0.118858212447357
BC-Curated,tp53,precision,1.0
BC-Curated,tp53,recall,0.9333333333333333
BC-Curated,tp53,f1,0.9655172413793104
BC-Curated,tp53,accuracy,0.9962825278810409
BC-Curated,tp53,specificity,1.0
BC-Curated,tp53,kappa,0.9635550738382331
BC-EmbedEq,tp53,precision,1.0
BC-EmbedEq,tp53,recall,0.6666666666666666
BC-EmbedEq,tp53,f1,0.8
BC-EmbedEq,tp53,accuracy,0.9814126394052045
BC-EmbedEq,tp53,specificity,1.0
BC-EmbedEq,tp53,kappa,0.7906614785992224
BC-Final,tp53,precision,1.0
BC-Final,tp53,recall,1.0
BC-Final,tp53,f1,1.0
BC-Final,tp53,accuracy,1.0
BC-Final,tp53,specificity,1.0
BC-Final,tp53,kappa,1.0
gpt,tp53,precision,1.0
gpt,tp53,recall,0.4
gpt,tp53,f1,0.5714285714285715
gpt,tp53,accuracy,0.966542750929368
gpt,tp53,specificity,1.0
gpt,tp53,kappa,0.5573230938014262
grok,tp53,precision,1.0
grok,tp53,recall,0.6666666666666666
grok,tp53,f1,0.8
grok,tp53,accuracy,0.9814126394052045
grok,tp53,specificity,1.0
grok,tp53,kappa,0.7906614785992224
gemini,tp53,precision,1.0
gemini,tp53,recall,0.5333333333333333
gemini,tp53,f1,0.6956521739130436
gemini,tp53,accuracy,0.9739776951672863
gemini,tp53,specificity,1.0
gemini,tp53,kappa,0.683369766268707
llama,tp53,precision,1.0
llama,tp53,recall,0.3333333333333333
llama,tp53,f1,0.5
llama,tp53,accuracy,0.9628252788104089
llama,tp53,specificity,1.0
llama,tp53,kappa,0.4856596558317402
BC-FuzzyEq,slc2a1,precision,1.0
BC-FuzzyEq,slc2a1,recall,0.041666666666666664
BC-FuzzyEq,slc2a1,f1,0.07999999999999999
BC-FuzzyEq,slc2a1,accuracy,0.9144981412639405
BC-FuzzyEq,slc2a1,specificity,1.0
BC-FuzzyEq,slc2a1,kappa,0.0733862513104681
BC-Curated,slc2a1,precision,1.0
BC-Curated,slc2a1,recall,0.9166666666666666
BC-Curated,slc2a1,f1,0.9565217391304348
BC-Curated,slc2a1,accuracy,0.9925650557620818
BC-Curated,slc2a1,specificity,1.0
BC-Curated,slc2a1,kappa,0.9524650998409612
BC-EmbedEq,slc2a1,precision,1.0
BC-EmbedEq,slc2a1,recall,0.375
BC-EmbedEq,slc2a1,f1,0.5454545454545454
BC-EmbedEq,slc2a1,accuracy,0.9442379182156134
BC-EmbedEq,slc2a1,specificity,1.0
BC-EmbedEq,slc2a1,kappa,0.5222024866785085
BC-Final,slc2a1,precision,1.0
BC-Final,slc2a1,recall,0.9583333333333334
BC-Final,slc2a1,f1,0.9787234042553191
BC-Final,slc2a1,accuracy,0.9962825278810409
BC-Final,slc2a1,specificity,1.0
BC-Final,slc2a1,kappa,0.9766877545714533
gpt,slc2a1,precision,1.0
gpt,slc2a1,recall,0.125
gpt,slc2a1,f1,0.2222222222222222
gpt,slc2a1,accuracy,0.9219330855018587
gpt,slc2a1,specificity,1.0
gpt,slc2a1,kappa,0.2064896755162235
grok,slc2a1,precision,0.9090909090909091
grok,slc2a1,recall,0.4166666666666667
grok,slc2a1,f1,0.5714285714285715
grok,slc2a1,accuracy,0.9442379182156134
grok,slc2a1,specificity,0.9959183673469387
grok,slc2a1,kappa,0.5459660177787784
gemini,slc2a1,precision,0.056962025316455694
gemini,slc2a1,recall,0.375
gemini,slc2a1,f1,0.09890109890109891
gemini,slc2a1,accuracy,0.3903345724907063
gemini,slc2a1,specificity,0.39183673469387753
gemini,slc2a1,kappa,-0.06627350509982116
llama,slc2a1,precision,1.0
llama,slc2a1,recall,0.25
llama,slc2a1,f1,0.4
llama,slc2a1,accuracy,0.9330855018587361
llama,slc2a1,specificity,1.0
llama,slc2a1,kappa,0.37779491133384707
BC-FuzzyEq,actb,precision,1.0
BC-FuzzyEq,actb,recall,0.06666666666666667
BC-FuzzyEq,actb,f1,0.125
BC-FuzzyEq,actb,accuracy,0.9479553903345725
BC-FuzzyEq,actb,specificity,1.0
BC-FuzzyEq,actb,kappa,0.118858212447357
BC-Curated,actb,precision,1.0
BC-Curated,actb,recall,0.8666666666666667
BC-Curated,actb,f1,0.9285714285714286
BC-Curated,actb,accuracy,0.9925650557620818
BC-Curated,actb,specificity,1.0
BC-Curated,actb,kappa,0.9246709605152617
BC-EmbedEq,actb,precision,0.7
BC-EmbedEq,actb,recall,0.4666666666666667
BC-EmbedEq,actb,f1,0.56
BC-EmbedEq,actb,accuracy,0.9591078066914498
BC-EmbedEq,actb,specificity,0.9881889763779528
BC-EmbedEq,actb,kappa,0.5394552529182879
BC-Final,actb,precision,0.8333333333333334
BC-Final,actb,recall,1.0
BC-Final,actb,f1,0.9090909090909091
BC-Final,actb,accuracy,0.9888475836431226
BC-Final,actb,specificity,0.9881889763779528
BC-Final,actb,kappa,0.9032025908600213
gpt,actb,precision,1.0
gpt,actb,recall,0.2
gpt,actb,f1,0.33333333333333337
gpt,actb,accuracy,0.9553903345724907
gpt,actb,specificity,1.0
gpt,actb,kappa,0.3207070707070699
grok,actb,precision,1.0
grok,actb,recall,0.4
grok,actb,f1,0.5714285714285715
grok,actb,accuracy,0.966542750929368
grok,actb,specificity,1.0
grok,actb,kappa,0.5573230938014262
gemini,actb,precision,0.6363636363636364
gemini,actb,recall,0.4666666666666667
gemini,actb,f1,0.5384615384615385
gemini,actb,accuracy,0.9553903345724907
gemini,actb,specificity,0.984251968503937
gemini,actb,kappa,0.5156062424969983
llama,actb,precision,1.0
llama,actb,recall,0.4666666666666667
llama,actb,f1,0.6363636363636364
llama,actb,accuracy,0.9702602230483272
llama,actb,specificity,1.0
llama,actb,kappa,0.6229852838121938
BC-FuzzyEq,cdk1,precision,1.0
BC-FuzzyEq,cdk1,recall,0.09090909090909091
BC-FuzzyEq,cdk1,f1,0.16666666666666669
BC-FuzzyEq,cdk1,accuracy,0.9628252788104089
BC-FuzzyEq,cdk1,specificity,1.0
BC-FuzzyEq,cdk1,kappa,0.1609482220835931
BC-Curated,cdk1,precision,1.0
BC-Curated,cdk1,recall,1.0
BC-Curated,cdk1,f1,1.0
BC-Curated,cdk1,accuracy,1.0
BC-Curated,cdk1,specificity,1.0
BC-Curated,cdk1,kappa,1.0
BC-EmbedEq,cdk1,precision,1.0
BC-EmbedEq,cdk1,recall,0.7272727272727273
BC-EmbedEq,cdk1,f1,0.8421052631578948
BC-EmbedEq,cdk1,accuracy,0.9888475836431226
BC-EmbedEq,cdk1,specificity,1.0
BC-EmbedEq,cdk1,kappa,0.836474164133738
BC-Final,cdk1,precision,1.0
BC-Final,cdk1,recall,1.0
BC-Final,cdk1,f1,1.0
BC-Final,cdk1,accuracy,1.0
BC-Final,cdk1,specificity,1.0
BC-Final,cdk1,kappa,1.0
gpt,cdk1,precision,1.0
gpt,cdk1,recall,0.18181818181818182
gpt,cdk1,f1,0.3076923076923077
gpt,cdk1,accuracy,0.966542750929368
gpt,cdk1,specificity,1.0
gpt,cdk1,kappa,0.29887054735013013
grok,cdk1,precision,1.0
grok,cdk1,recall,0.8181818181818182
grok,cdk1,f1,0.9
grok,cdk1,accuracy,0.9925650557620818
grok,cdk1,specificity,1.0
grok,cdk1,kappa,0.8961790814357387
gemini,cdk1,precision,1.0
gemini,cdk1,recall,0.7272727272727273
gemini,cdk1,f1,0.8421052631578948
gemini,cdk1,accuracy,0.9888475836431226
gemini,cdk1,specificity,1.0
gemini,cdk1,kappa,0.836474164133738
llama,cdk1,precision,1.0
llama,cdk1,recall,0.6363636363636364
llama,cdk1,f1,0.7777777777777778
llama,cdk1,accuracy,0.9851301115241635
llama,cdk1,specificity,1.0
llama,cdk1,kappa,0.770477815699658
BC-FuzzyEq,bax,precision,1.0
BC-FuzzyEq,bax,recall,0.18181818181818182
BC-FuzzyEq,bax,f1,0.3076923076923077
BC-FuzzyEq,bax,accuracy,0.966542750929368
BC-FuzzyEq,bax,specificity,1.0
BC-FuzzyEq,bax,kappa,0.29887054735013013
BC-Curated,bax,precision,1.0
BC-Curated,bax,recall,1.0
BC-Curated,bax,f1,1.0
BC-Curated,bax,accuracy,1.0
BC-Curated,bax,specificity,1.0
BC-Curated,bax,kappa,1.0
BC-EmbedEq,bax,precision,1.0
BC-EmbedEq,bax,recall,1.0
BC-EmbedEq,bax,f1,1.0
BC-EmbedEq,bax,accuracy,1.0
BC-EmbedEq,bax,specificity,1.0
BC-EmbedEq,bax,kappa,1.0
BC-Final,bax,precision,1.0
BC-Final,bax,recall,1.0
BC-Final,bax,f1,1.0
BC-Final,bax,accuracy,1.0
BC-Final,bax,specificity,1.0
BC-Final,bax,kappa,1.0
gpt,bax,precision,1.0
gpt,bax,recall,0.18181818181818182
gpt,bax,f1,0.3076923076923077
gpt,bax,accuracy,0.966542750929368
gpt,bax,specificity,1.0
gpt,bax,kappa,0.29887054735013013
grok,bax,precision,1.0
grok,bax,recall,0.8181818181818182
grok,bax,f1,0.9
grok,bax,accuracy,0.9925650557620818
grok,bax,specificity,1.0
grok,bax,kappa,0.8961790814357387
gemini,bax,precision,0.9
gemini,bax,recall,0.8181818181818182
gemini,bax,f1,0.8571428571428572
gemini,bax,accuracy,0.9888475836431226
gemini,bax,specificity,0.9961240310077519
gemini,bax,kappa,0.851353840486277
llama,bax,precision,1.0
llama,bax,recall,0.6363636363636364
llama,bax,f1,0.7777777777777778
llama,bax,accuracy,0.9851301115241635
llama,bax,specificity,1.0
llama,bax,kappa,0.770477815699658
BC-FuzzyEq,brca1,precision,1.0
BC-FuzzyEq,brca1,recall,0.10526315789473684
BC-FuzzyEq,brca1,f1,0.1904761904761905
BC-FuzzyEq,brca1,accuracy,0.9368029739776952
BC-FuzzyEq,brca1,specificity,1.0
BC-FuzzyEq,brca1,kappa,0.1794365691727975
BC-Curated,brca1,precision,1.0
BC-Curated,brca1,recall,0.9473684210526315
BC-Curated,brca1,f1,0.972972972972973
BC-Curated,brca1,accuracy,0.9962825278810409
BC-Curated,brca1,specificity,1.0
BC-Curated,brca1,kappa,0.9709785305858236
BC-EmbedEq,brca1,precision,1.0
BC-EmbedEq,brca1,recall,0.3684210526315789
BC-EmbedEq,brca1,f1,0.5384615384615384
BC-EmbedEq,brca1,accuracy,0.9553903345724907
BC-EmbedEq,brca1,specificity,1.0
BC-EmbedEq,brca1,kappa,0.5202140309155766
BC-Final,brca1,precision,1.0
BC-Final,brca1,recall,1.0
BC-Final,brca1,f1,1.0
BC-Final,brca1,accuracy,1.0
BC-Final,brca1,specificity,1.0
BC-Final,brca1,kappa,1.0
gpt,brca1,precision,1.0
gpt,brca1,recall,0.15789473684210525
gpt,brca1,f1,0.2727272727272727
gpt,brca1,accuracy,0.9405204460966543
gpt,brca1,specificity,1.0
gpt,brca1,kappa,0.2584424534803585
grok,brca1,precision,0.9
grok,brca1,recall,0.47368421052631576
grok,brca1,f1,0.6206896551724138
grok,brca1,accuracy,0.9591078066914498
grok,brca1,specificity,0.996
grok,brca1,kappa,0.6012666756501818
gemini,brca1,precision,1.0
gemini,brca1,recall,0.2631578947368421
gemini,brca1,f1,0.4166666666666667
gemini,brca1,accuracy,0.9479553903345725
gemini,brca1,specificity,1.0
gemini,brca1,kappa,0.3989786147462499
llama,brca1,precision,0.875
llama,brca1,recall,0.3684210526315789
llama,brca1,f1,0.5185185185185185
llama,brca1,accuracy,0.9516728624535316
llama,brca1,specificity,0.996
llama,brca1,kappa,0.4974852708722515
BC-FuzzyEq,nr5a1,precision,1.0
BC-FuzzyEq,nr5a1,recall,0.045454545454545456
BC-FuzzyEq,nr5a1,f1,0.08695652173913045
BC-FuzzyEq,nr5a1,accuracy,0.9219330855018587
BC-FuzzyEq,nr5a1,specificity,1.0
BC-FuzzyEq,nr5a1,kappa,0.0804167344945462
BC-Curated,nr5a1,precision,1.0
BC-Curated,nr5a1,recall,0.9545454545454546
BC-Curated,nr5a1,f1,0.9767441860465117
BC-Curated,nr5a1,accuracy,0.9962825278810409
BC-Curated,nr5a1,specificity,1.0
BC-Curated,nr5a1,kappa,0.9747251714742083
BC-EmbedEq,nr5a1,precision,0.6666666666666666
BC-EmbedEq,nr5a1,recall,0.36363636363636365
BC-EmbedEq,nr5a1,f1,0.4705882352941177
BC-EmbedEq,nr5a1,accuracy,0.9330855018587361
BC-EmbedEq,nr5a1,specificity,0.9838056680161943
BC-EmbedEq,nr5a1,kappa,0.43815270364353687
BC-Final,nr5a1,precision,0.84
BC-Final,nr5a1,recall,0.9545454545454546
BC-Final,nr5a1,f1,0.8936170212765958
BC-Final,nr5a1,accuracy,0.9814126394052045
BC-Final,nr5a1,specificity,0.9838056680161943
BC-Final,nr5a1,kappa,0.8834791648618213
gpt,nr5a1,precision,1.0
gpt,nr5a1,recall,0.045454545454545456
gpt,nr5a1,f1,0.08695652173913045
gpt,nr5a1,accuracy,0.9219330855018587
gpt,nr5a1,specificity,1.0
gpt,nr5a1,kappa,0.0804167344945462
grok,nr5a1,precision,1.0
grok,nr5a1,recall,0.5454545454545454
grok,nr5a1,f1,0.7058823529411764
grok,nr5a1,accuracy,0.9628252788104089
grok,nr5a1,specificity,1.0
grok,nr5a1,kappa,0.6878626131352982
gemini,nr5a1,precision,0.0
gemini,nr5a1,recall,0.0
gemini,nr5a1,f1,0.0
gemini,nr5a1,accuracy,0.9182156133828996
gemini,nr5a1,specificity,1.0
gemini,nr5a1,kappa,0.0
llama,nr5a1,precision,1.0
llama,nr5a1,recall,0.2727272727272727
llama,nr5a1,f1,0.42857142857142855
llama,nr5a1,accuracy,0.9405204460966543
llama,nr5a1,specificity,1.0
llama,nr5a1,kappa,0.4078150798018713
BC-FuzzyEq,kras,precision,1.0
BC-FuzzyEq,kras,recall,0.05714285714285714
BC-FuzzyEq,kras,f1,0.1081081081081081
BC-FuzzyEq,kras,accuracy,0.8773234200743495
BC-FuzzyEq,kras,specificity,1.0
BC-FuzzyEq,kras,kappa,0.09538367471721212
BC-Curated,kras,precision,1.0
BC-Curated,kras,recall,0.9714285714285714
BC-Curated,kras,f1,0.9855072463768115
BC-Curated,kras,accuracy,0.9962825278810409
BC-Curated,kras,specificity,1.0
BC-Curated,kras,kappa,0.9833755639330078
BC-EmbedEq,kras,precision,1.0
BC-EmbedEq,kras,recall,0.6571428571428571
BC-EmbedEq,kras,f1,0.7931034482758621
BC-EmbedEq,kras,accuracy,0.9553903345724907
BC-EmbedEq,kras,specificity,1.0
BC-EmbedEq,kras,kappa,0.769296740994854
BC-Final,kras,precision,1.0
BC-Final,kras,recall,1.0
BC-Final,kras,f1,1.0
BC-Final,kras,accuracy,1.0
BC-Final,kras,specificity,1.0
BC-Final,kras,kappa,1.0
gpt,kras,precision,1.0
gpt,kras,recall,0.45714285714285713
gpt,kras,f1,0.6274509803921569
gpt,kras,accuracy,0.929368029739777
gpt,kras,specificity,1.0
gpt,kras,kappa,0.5943328835621873
grok,kras,precision,1.0
grok,kras,recall,0.37142857142857144
grok,kras,f1,0.5416666666666666
grok,kras,accuracy,0.9182156133828996
grok,kras,specificity,1.0
grok,kras,kappa,0.5069155140809863
gemini,kras,precision,1.0
gemini,kras,recall,0.4
gemini,kras,f1,0.5714285714285715
gemini,kras,accuracy,0.9219330855018587
gemini,kras,specificity,1.0
gemini,kras,kappa,0.5370051635111875
llama,kras,precision,1.0
llama,kras,recall,0.5428571428571428
llama,kras,f1,0.7037037037037037
llama,kras,accuracy,0.9405204460966543
llama,kras,specificity,1.0
llama,kras,kappa,0.6738405577447713
BC-FuzzyEq,cdh1,precision,1.0
BC-FuzzyEq,cdh1,recall,0.045454545454545456
BC-FuzzyEq,cdh1,f1,0.08695652173913045
BC-FuzzyEq,cdh1,accuracy,0.9219330855018587
BC-FuzzyEq,cdh1,specificity,1.0
BC-FuzzyEq,cdh1,kappa,0.0804167344945462
BC-Curated,cdh1,precision,1.0
BC-Curated,cdh1,recall,0.8636363636363636
BC-Curated,cdh1,f1,0.9268292682926829
BC-Curated,cdh1,accuracy,0.9888475836431226
BC-Curated,cdh1,specificity,1.0
BC-Curated,cdh1,kappa,0.9208280192288824
BC-EmbedEq,cdh1,precision,1.0
BC-EmbedEq,cdh1,recall,0.45454545454545453
BC-EmbedEq,cdh1,f1,0.625
BC-EmbedEq,cdh1,accuracy,0.9553903345724907
BC-EmbedEq,cdh1,specificity,1.0
BC-EmbedEq,cdh1,kappa,0.6047992164544561
BC-Final,cdh1,precision,1.0
BC-Final,cdh1,recall,0.9090909090909091
BC-Final,cdh1,f1,0.9523809523809523
BC-Final,cdh1,accuracy,0.9925650557620818
BC-Final,cdh1,specificity,1.0
BC-Final,cdh1,kappa,0.9483586100979073
gpt,cdh1,precision,1.0
gpt,cdh1,recall,0.22727272727272727
gpt,cdh1,f1,0.37037037037037035
gpt,cdh1,accuracy,0.9368029739776952
gpt,cdh1,specificity,1.0
gpt,cdh1,kappa,0.35070282550049725
grok,cdh1,precision,1.0
grok,cdh1,recall,0.5909090909090909
grok,cdh1,f1,0.7428571428571429
grok,cdh1,accuracy,0.966542750929368
grok,cdh1,specificity,1.0
grok,cdh1,kappa,0.7262241320818726
gemini,cdh1,precision,1.0
gemini,cdh1,recall,0.7272727272727273
gemini,cdh1,f1,0.8421052631578948
gemini,cdh1,accuracy,0.9776951672862454
gemini,cdh1,specificity,1.0
gemini,cdh1,kappa,0.8304265602017233
llama,cdh1,precision,1.0
llama,cdh1,recall,0.5909090909090909
llama,cdh1,f1,0.7428571428571429
llama,cdh1,accuracy,0.966542750929368
llama,cdh1,specificity,1.0
llama,cdh1,kappa,0.7262241320818726
BC-FuzzyEq,tubb,precision,1.0
BC-FuzzyEq,tubb,recall,0.0625
BC-FuzzyEq,tubb,f1,0.11764705882352941
BC-FuzzyEq,tubb,accuracy,0.9442379182156134
BC-FuzzyEq,tubb,specificity,1.0
BC-FuzzyEq,tubb,kappa,0.11142920061660491
BC-Curated,tubb,precision,1.0
BC-Curated,tubb,recall,1.0
BC-Curated,tubb,f1,1.0
BC-Curated,tubb,accuracy,1.0
BC-Curated,tubb,specificity,1.0
BC-Curated,tubb,kappa,1.0
BC-EmbedEq,tubb,precision,0.8333333333333334
BC-EmbedEq,tubb,recall,0.625
BC-EmbedEq,tubb,f1,0.7142857142857143
BC-EmbedEq,tubb,accuracy,0.9702602230483272
BC-EmbedEq,tubb,specificity,0.9920948616600791
BC-EmbedEq,tubb,kappa,0.6989367655288193
BC-Final,tubb,precision,0.8888888888888888
BC-Final,tubb,recall,1.0
BC-Final,tubb,f1,0.9411764705882353
BC-Final,tubb,accuracy,0.9925650557620818
BC-Final,tubb,specificity,0.9920948616600791
BC-Final,tubb,kappa,0.9372228704784129
gpt,tubb,precision,1.0
gpt,tubb,recall,0.5
gpt,tubb,f1,0.6666666666666666
gpt,tubb,accuracy,0.9702602230483272
gpt,tubb,specificity,1.0
gpt,tubb,kappa,0.6529032258064517
grok,tubb,precision,1.0
grok,tubb,recall,0.625
grok,tubb,f1,0.7692307692307693
grok,tubb,accuracy,0.9776951672862454
grok,tubb,specificity,1.0
grok,tubb,kappa,0.7581660173808815
gemini,tubb,precision,1.0
gemini,tubb,recall,0.5
gemini,tubb,f1,0.6666666666666666
gemini,tubb,accuracy,0.9702602230483272
gemini,tubb,specificity,1.0
gemini,tubb,kappa,0.6529032258064517
llama,tubb,precision,1.0
llama,tubb,recall,0.5
llama,tubb,f1,0.6666666666666666
llama,tubb,accuracy,0.9702602230483272
llama,tubb,specificity,1.0
llama,tubb,kappa,0.6529032258064517
BC-FuzzyEq,ndufs1,precision,1.0
BC-FuzzyEq,ndufs1,recall,0.09090909090909091
BC-FuzzyEq,ndufs1,f1,0.16666666666666669
BC-FuzzyEq,ndufs1,accuracy,0.9628252788104089
BC-FuzzyEq,ndufs1,specificity,1.0
BC-FuzzyEq,ndufs1,kappa,0.1609482220835931
BC-Curated,ndufs1,precision,1.0
BC-Curated,ndufs1,recall,0.9090909090909091
BC-Curated,ndufs1,f1,0.9523809523809523
BC-Curated,ndufs1,accuracy,0.9962825278810409
BC-Curated,ndufs1,specificity,1.0
BC-Curated,ndufs1,kappa,0.9504512801620923
BC-EmbedEq,ndufs1,precision,1.0
BC-EmbedEq,ndufs1,recall,0.6363636363636364
BC-EmbedEq,ndufs1,f1,0.7777777777777778
BC-EmbedEq,ndufs1,accuracy,0.9851301115241635
BC-EmbedEq,ndufs1,specificity,1.0
BC-EmbedEq,ndufs1,kappa,0.770477815699658
BC-Final,ndufs1,precision,1.0
BC-Final,ndufs1,recall,1.0
BC-Final,ndufs1,f1,1.0
BC-Final,ndufs1,accuracy,1.0
BC-Final,ndufs1,specificity,1.0
BC-Final,ndufs1,kappa,1.0
gpt,ndufs1,precision,1.0
gpt,ndufs1,recall,0.09090909090909091
gpt,ndufs1,f1,0.16666666666666669
gpt,ndufs1,accuracy,0.9628252788104089
gpt,ndufs1,specificity,1.0
gpt,ndufs1,kappa,0.1609482220835931
grok,ndufs1,precision,1.0
grok,ndufs1,recall,0.8181818181818182
grok,ndufs1,f1,0.9
grok,ndufs1,accuracy,0.9925650557620818
grok,ndufs1,specificity,1.0
grok,ndufs1,kappa,0.8961790814357387
gemini,ndufs1,precision,1.0
gemini,ndufs1,recall,0.6363636363636364
gemini,ndufs1,f1,0.7777777777777778
gemini,ndufs1,accuracy,0.9851301115241635
gemini,ndufs1,specificity,1.0
gemini,ndufs1,kappa,0.770477815699658
llama,ndufs1,precision,1.0
llama,ndufs1,recall,0.09090909090909091
llama,ndufs1,f1,0.16666666666666669
llama,ndufs1,accuracy,0.9628252788104089
llama,ndufs1,specificity,1.0
llama,ndufs1,kappa,0.1609482220835931
BC-FuzzyEq,csnk2b,precision,1.0
BC-FuzzyEq,csnk2b,recall,0.05
BC-FuzzyEq,csnk2b,f1,0.09523809523809523
BC-FuzzyEq,csnk2b,accuracy,0.929368029739777
BC-FuzzyEq,csnk2b,specificity,1.0
