method,disease,metric,value
BC-EmbedEq,iron deficiency anaemia,kappa,1.0
BC-Final,iron deficiency anaemia,precision,1.0
BC-Final,iron deficiency anaemia,recall,1.0
BC-Final,iron deficiency anaemia,f1,1.0
BC-Final,iron deficiency anaemia,accuracy,1.0
BC-Final,iron deficiency anaemia,specificity,1.0
BC-Final,iron deficiency anaemia,kappa,1.0
gpt,iron deficiency anaemia,precision,1.0
gpt,iron deficiency anaemia,recall,0.4
gpt,iron deficiency anaemia,f1,0.5714285714285715
gpt,iron deficiency anaemia,accuracy,0.9940239043824701
gpt,iron deficiency anaemia,specificity,1.0
gpt,iron deficiency anaemia,kappa,0.5689753863766452
grok,iron deficiency anaemia,precision,1.0
grok,iron deficiency anaemia,recall,0.8
grok,iron deficiency anaemia,f1,0.888888888888889
grok,iron deficiency anaemia,accuracy,0.99800796812749
grok,iron deficiency anaemia,specificity,1.0
grok,iron deficiency anaemia,kappa,0.8878963823135326
gemini,iron deficiency anaemia,precision,1.0
gemini,iron deficiency anaemia,recall,0.4
gemini,iron deficiency anaemia,f1,0.5714285714285715
gemini,iron deficiency anaemia,accuracy,0.9940239043824701
gemini,iron deficiency anaemia,specificity,1.0
gemini,iron deficiency anaemia,kappa,0.5689753863766452
llama,iron deficiency anaemia,precision,1.0
llama,iron deficiency anaemia,recall,0.6
llama,iron deficiency anaemia,f1,0.7499999999999999
llama,iron deficiency anaemia,accuracy,0.9960159362549801
llama,iron deficiency anaemia,specificity,1.0
llama,iron deficiency anaemia,kappa,0.7481184144505767
BC-FuzzyEq,hyperthyroidism,precision,1.0
BC-FuzzyEq,hyperthyroidism,recall,0.09333333333333334
BC-FuzzyEq,hyperthyroidism,f1,0.17073170731707318
BC-FuzzyEq,hyperthyroidism,accuracy,0.8645418326693227
BC-FuzzyEq,hyperthyroidism,specificity,1.0
BC-FuzzyEq,hyperthyroidism,kappa,0.14902527795782028
BC-Curated,hyperthyroidism,precision,1.0
BC-Curated,hyperthyroidism,recall,0.08
BC-Curated,hyperthyroidism,f1,0.14814814814814814
BC-Curated,hyperthyroidism,accuracy,0.8625498007968128
BC-Curated,hyperthyroidism,specificity,1.0
BC-Curated,hyperthyroidism,kappa,0.12886675720537202
BC-EmbedEq,hyperthyroidism,precision,1.0
BC-EmbedEq,hyperthyroidism,recall,0.5066666666666667
BC-EmbedEq,hyperthyroidism,f1,0.6725663716814159
BC-EmbedEq,hyperthyroidism,accuracy,0.9262948207171314
BC-EmbedEq,hyperthyroidism,specificity,1.0
BC-EmbedEq,hyperthyroidism,kappa,0.6359894955512874
BC-Final,hyperthyroidism,precision,1.0
BC-Final,hyperthyroidism,recall,0.52
BC-Final,hyperthyroidism,f1,0.6842105263157895
BC-Final,hyperthyroidism,accuracy,0.9282868525896414
BC-Final,hyperthyroidism,specificity,1.0
BC-Final,hyperthyroidism,kappa,0.6482541165479386
gpt,hyperthyroidism,precision,0.0
gpt,hyperthyroidism,recall,0.0
gpt,hyperthyroidism,f1,0.0
gpt,hyperthyroidism,accuracy,0.850597609561753
gpt,hyperthyroidism,specificity,1.0
gpt,hyperthyroidism,kappa,0.0
grok,hyperthyroidism,precision,0.9705882352941176
grok,hyperthyroidism,recall,0.44
grok,hyperthyroidism,f1,0.6055045871559633
grok,hyperthyroidism,accuracy,0.9143426294820717
grok,hyperthyroidism,specificity,0.9976580796252927
grok,hyperthyroidism,kappa,0.5649562658712562
gemini,hyperthyroidism,precision,1.0
gemini,hyperthyroidism,recall,0.05333333333333334
gemini,hyperthyroidism,f1,0.10126582278481014
gemini,hyperthyroidism,accuracy,0.8585657370517928
gemini,hyperthyroidism,specificity,1.0
gemini,hyperthyroidism,kappa,0.0874596753546009
llama,hyperthyroidism,precision,1.0
llama,hyperthyroidism,recall,0.16
llama,hyperthyroidism,f1,0.2758620689655173
llama,hyperthyroidism,accuracy,0.8745019920318725
llama,hyperthyroidism,specificity,1.0
llama,hyperthyroidism,kappa,0.24473420260782358
BC-FuzzyEq,generalized anxiety disorder,precision,1.0
BC-FuzzyEq,generalized anxiety disorder,recall,0.8
BC-FuzzyEq,generalized anxiety disorder,f1,0.888888888888889
BC-FuzzyEq,generalized anxiety disorder,accuracy,0.99800796812749
BC-FuzzyEq,generalized anxiety disorder,specificity,1.0
BC-FuzzyEq,generalized anxiety disorder,kappa,0.8878963823135326
BC-Curated,generalized anxiety disorder,precision,1.0
BC-Curated,generalized anxiety disorder,recall,0.2
BC-Curated,generalized anxiety disorder,f1,0.33333333333333337
BC-Curated,generalized anxiety disorder,accuracy,0.9920318725099602
BC-Curated,generalized anxiety disorder,specificity,1.0
BC-Curated,generalized anxiety disorder,kappa,0.33111259160559586
BC-EmbedEq,generalized anxiety disorder,precision,1.0
BC-EmbedEq,generalized anxiety disorder,recall,1.0
BC-EmbedEq,generalized anxiety disorder,f1,1.0
BC-EmbedEq,generalized anxiety disorder,accuracy,1.0
BC-EmbedEq,generalized anxiety disorder,specificity,1.0
BC-EmbedEq,generalized anxiety disorder,kappa,1.0
BC-Final,generalized anxiety disorder,precision,1.0
BC-Final,generalized anxiety disorder,recall,1.0
BC-Final,generalized anxiety disorder,f1,1.0
BC-Final,generalized anxiety disorder,accuracy,1.0
BC-Final,generalized anxiety disorder,specificity,1.0
BC-Final,generalized anxiety disorder,kappa,1.0
gpt,generalized anxiety disorder,precision,1.0
gpt,generalized anxiety disorder,recall,0.4
gpt,generalized anxiety disorder,f1,0.5714285714285715
gpt,generalized anxiety disorder,accuracy,0.9940239043824701
gpt,generalized anxiety disorder,specificity,1.0
gpt,generalized anxiety disorder,kappa,0.5689753863766452
grok,generalized anxiety disorder,precision,1.0
grok,generalized anxiety disorder,recall,0.8
grok,generalized anxiety disorder,f1,0.888888888888889
grok,generalized anxiety disorder,accuracy,0.99800796812749
grok,generalized anxiety disorder,specificity,1.0
grok,generalized anxiety disorder,kappa,0.8878963823135326
gemini,generalized anxiety disorder,precision,1.0
gemini,generalized anxiety disorder,recall,0.6
gemini,generalized anxiety disorder,f1,0.7499999999999999
gemini,generalized anxiety disorder,accuracy,0.9960159362549801
gemini,generalized anxiety disorder,specificity,1.0
gemini,generalized anxiety disorder,kappa,0.7481184144505767
llama,generalized anxiety disorder,precision,1.0
llama,generalized anxiety disorder,recall,0.6
llama,generalized anxiety disorder,f1,0.7499999999999999
llama,generalized anxiety disorder,accuracy,0.9960159362549801
llama,generalized anxiety disorder,specificity,1.0
llama,generalized anxiety disorder,kappa,0.7481184144505767
BC-FuzzyEq,multiple sclerosis,precision,1.0
BC-FuzzyEq,multiple sclerosis,recall,0.3829787234042553
BC-FuzzyEq,multiple sclerosis,f1,0.5538461538461539
BC-FuzzyEq,multiple sclerosis,accuracy,0.9422310756972112
BC-FuzzyEq,multiple sclerosis,specificity,1.0
BC-FuzzyEq,multiple sclerosis,kappa,0.5294459887516976
BC-Curated,multiple sclerosis,precision,1.0
BC-Curated,multiple sclerosis,recall,0.14893617021276595
BC-Curated,multiple sclerosis,f1,0.25925925925925924
BC-Curated,multiple sclerosis,accuracy,0.9203187250996016
BC-Curated,multiple sclerosis,specificity,1.0
BC-Curated,multiple sclerosis,kappa,0.2408317580340259
BC-EmbedEq,multiple sclerosis,precision,1.0
BC-EmbedEq,multiple sclerosis,recall,0.7446808510638298
BC-EmbedEq,multiple sclerosis,f1,0.8536585365853657
BC-EmbedEq,multiple sclerosis,accuracy,0.9760956175298805
BC-EmbedEq,multiple sclerosis,specificity,1.0
BC-EmbedEq,multiple sclerosis,kappa,0.8409462956117655
BC-Final,multiple sclerosis,precision,1.0
BC-Final,multiple sclerosis,recall,0.7446808510638298
BC-Final,multiple sclerosis,f1,0.8536585365853657
BC-Final,multiple sclerosis,accuracy,0.9760956175298805
BC-Final,multiple sclerosis,specificity,1.0
BC-Final,multiple sclerosis,kappa,0.8409462956117655
gpt,multiple sclerosis,precision,1.0
gpt,multiple sclerosis,recall,0.3829787234042553
gpt,multiple sclerosis,f1,0.5538461538461539
gpt,multiple sclerosis,accuracy,0.9422310756972112
gpt,multiple sclerosis,specificity,1.0
gpt,multiple sclerosis,kappa,0.5294459887516976
grok,multiple sclerosis,precision,1.0
grok,multiple sclerosis,recall,0.5319148936170213
grok,multiple sclerosis,f1,0.6944444444444444
grok,multiple sclerosis,accuracy,0.9561752988047809
grok,multiple sclerosis,specificity,1.0
grok,multiple sclerosis,kappa,0.673196425400959
gemini,multiple sclerosis,precision,1.0
gemini,multiple sclerosis,recall,0.5106382978723404
gemini,multiple sclerosis,f1,0.676056338028169
gemini,multiple sclerosis,accuracy,0.954183266932271
gemini,multiple sclerosis,specificity,1.0
gemini,multiple sclerosis,kappa,0.654166417061044
llama,multiple sclerosis,precision,0.7142857142857143
llama,multiple sclerosis,recall,0.425531914893617
llama,multiple sclerosis,f1,0.5333333333333333
llama,multiple sclerosis,accuracy,0.9302788844621513
llama,multiple sclerosis,specificity,0.9824175824175824
llama,multiple sclerosis,kappa,0.4982580387229423
BC-FuzzyEq,hordeolum,precision,1.0
BC-FuzzyEq,hordeolum,recall,0.25
BC-FuzzyEq,hordeolum,f1,0.4
BC-FuzzyEq,hordeolum,accuracy,0.9701195219123506
BC-FuzzyEq,hordeolum,specificity,1.0
BC-FuzzyEq,hordeolum,kappa,0.3902834008097176
BC-Curated,hordeolum,precision,1.0
BC-Curated,hordeolum,recall,0.25
BC-Curated,hordeolum,f1,0.4
BC-Curated,hordeolum,accuracy,0.9701195219123506
BC-Curated,hordeolum,specificity,1.0
BC-Curated,hordeolum,kappa,0.3902834008097176
BC-EmbedEq,hordeolum,precision,1.0
BC-EmbedEq,hordeolum,recall,0.7
BC-EmbedEq,hordeolum,f1,0.8235294117647058
BC-EmbedEq,hordeolum,accuracy,0.9880478087649402
BC-EmbedEq,hordeolum,specificity,1.0
BC-EmbedEq,hordeolum,kappa,0.8175430094499638
BC-Final,hordeolum,precision,1.0
BC-Final,hordeolum,recall,0.8
BC-Final,hordeolum,f1,0.888888888888889
BC-Final,hordeolum,accuracy,0.9920318725099602
BC-Final,hordeolum,specificity,1.0
BC-Final,hordeolum,kappa,0.8848095456631484
gpt,hordeolum,precision,1.0
gpt,hordeolum,recall,0.25
gpt,hordeolum,f1,0.4
gpt,hordeolum,accuracy,0.9701195219123506
gpt,hordeolum,specificity,1.0
gpt,hordeolum,kappa,0.3902834008097176
grok,hordeolum,precision,1.0
grok,hordeolum,recall,0.3
grok,hordeolum,f1,0.4615384615384615
grok,hordeolum,accuracy,0.9721115537848606
grok,hordeolum,specificity,1.0
grok,hordeolum,kappa,0.4514517639712775
gemini,hordeolum,precision,1.0
gemini,hordeolum,recall,0.65
gemini,hordeolum,f1,0.787878787878788
gemini,hordeolum,accuracy,0.9860557768924303
gemini,hordeolum,specificity,1.0
gemini,hordeolum,kappa,0.7810046117412441
llama,hordeolum,precision,1.0
llama,hordeolum,recall,0.65
llama,hordeolum,f1,0.787878787878788
llama,hordeolum,accuracy,0.9860557768924303
llama,hordeolum,specificity,1.0
llama,hordeolum,kappa,0.7810046117412441
BC-FuzzyEq,essential hypertension,precision,1.0
BC-FuzzyEq,essential hypertension,recall,0.16666666666666666
BC-FuzzyEq,essential hypertension,f1,0.2857142857142857
BC-FuzzyEq,essential hypertension,accuracy,0.9701195219123506
BC-FuzzyEq,essential hypertension,specificity,1.0
BC-FuzzyEq,essential hypertension,kappa,0.2783208740655551
BC-Curated,essential hypertension,precision,1.0
BC-Curated,essential hypertension,recall,0.16666666666666666
BC-Curated,essential hypertension,f1,0.2857142857142857
BC-Curated,essential hypertension,accuracy,0.9701195219123506
BC-Curated,essential hypertension,specificity,1.0
BC-Curated,essential hypertension,kappa,0.2783208740655551
BC-EmbedEq,essential hypertension,precision,1.0
BC-EmbedEq,essential hypertension,recall,0.8888888888888888
BC-EmbedEq,essential hypertension,f1,0.9411764705882353
BC-EmbedEq,essential hypertension,accuracy,0.9960159362549801
BC-EmbedEq,essential hypertension,specificity,1.0
BC-EmbedEq,essential hypertension,kappa,0.9391219985447491
BC-Final,essential hypertension,precision,1.0
BC-Final,essential hypertension,recall,0.8888888888888888
BC-Final,essential hypertension,f1,0.9411764705882353
BC-Final,essential hypertension,accuracy,0.9960159362549801
BC-Final,essential hypertension,specificity,1.0
BC-Final,essential hypertension,kappa,0.9391219985447491
gpt,essential hypertension,precision,1.0
gpt,essential hypertension,recall,0.6111111111111112
gpt,essential hypertension,f1,0.7586206896551725
gpt,essential hypertension,accuracy,0.9860557768924303
gpt,essential hypertension,specificity,1.0
gpt,essential hypertension,kappa,0.7518712046321141
grok,essential hypertension,precision,1.0
grok,essential hypertension,recall,0.7777777777777778
grok,essential hypertension,f1,0.8750000000000001
grok,essential hypertension,accuracy,0.9920318725099602
grok,essential hypertension,specificity,1.0
grok,essential hypertension,kappa,0.8709511568123394
gemini,essential hypertension,precision,1.0
gemini,essential hypertension,recall,0.7777777777777778
gemini,essential hypertension,f1,0.8750000000000001
gemini,essential hypertension,accuracy,0.9920318725099602
gemini,essential hypertension,specificity,1.0
gemini,essential hypertension,kappa,0.8709511568123394
llama,essential hypertension,precision,1.0
llama,essential hypertension,recall,0.7222222222222222
llama,essential hypertension,f1,0.8387096774193548
llama,essential hypertension,accuracy,0.9900398406374502
llama,essential hypertension,specificity,1.0
llama,essential hypertension,kappa,0.8337087584470653
BC-FuzzyEq,asthma,precision,1.0
BC-FuzzyEq,asthma,recall,0.8148148148148148
BC-FuzzyEq,asthma,f1,0.8979591836734693
BC-FuzzyEq,asthma,accuracy,0.9900398406374502
BC-FuzzyEq,asthma,specificity,1.0
BC-FuzzyEq,asthma,kappa,0.8927808628791116
BC-Curated,asthma,precision,1.0
BC-Curated,asthma,recall,0.2962962962962963
BC-Curated,asthma,f1,0.45714285714285713
BC-Curated,asthma,accuracy,0.9621513944223108
BC-Curated,asthma,specificity,1.0
BC-Curated,asthma,kappa,0.4434589800443463
BC-EmbedEq,asthma,precision,1.0
BC-EmbedEq,asthma,recall,0.9629629629629629
BC-EmbedEq,asthma,f1,0.9811320754716981
BC-EmbedEq,asthma,accuracy,0.99800796812749
BC-EmbedEq,asthma,specificity,1.0
BC-EmbedEq,asthma,kappa,0.9800809459566702
BC-Final,asthma,precision,1.0
BC-Final,asthma,recall,1.0
BC-Final,asthma,f1,1.0
BC-Final,asthma,accuracy,1.0
BC-Final,asthma,specificity,1.0
BC-Final,asthma,kappa,1.0
gpt,asthma,precision,1.0
gpt,asthma,recall,0.48148148148148145
gpt,asthma,f1,0.65
gpt,asthma,accuracy,0.9721115537848606
gpt,asthma,specificity,1.0
gpt,asthma,kappa,0.6373206729280632
grok,asthma,precision,1.0
grok,asthma,recall,0.7407407407407407
grok,asthma,f1,0.851063829787234
grok,asthma,accuracy,0.9860557768924303
grok,asthma,specificity,1.0
grok,asthma,kappa,0.8439193390779073
gemini,asthma,precision,1.0
gemini,asthma,recall,0.7777777777777778
gemini,asthma,f1,0.8750000000000001
gemini,asthma,accuracy,0.9880478087649402
gemini,asthma,specificity,1.0
gemini,asthma,kappa,0.8688267572511107
llama,asthma,precision,1.0
llama,asthma,recall,0.6666666666666666
llama,asthma,f1,0.8
llama,asthma,accuracy,0.9820717131474104
llama,asthma,specificity,1.0
llama,asthma,kappa,0.7910074937552043
BC-FuzzyEq,gastric ulcer,precision,1.0
BC-FuzzyEq,gastric ulcer,recall,0.8
BC-FuzzyEq,gastric ulcer,f1,0.888888888888889
BC-FuzzyEq,gastric ulcer,accuracy,0.9860557768924303
BC-FuzzyEq,gastric ulcer,specificity,1.0
BC-FuzzyEq,gastric ulcer,kappa,0.881547899952808
BC-Curated,gastric ulcer,precision,1.0
BC-Curated,gastric ulcer,recall,0.5428571428571428
BC-Curated,gastric ulcer,f1,0.7037037037037037
BC-Curated,gastric ulcer,accuracy,0.9681274900398407
BC-Curated,gastric ulcer,specificity,1.0
BC-Curated,gastric ulcer,kappa,0.6884164791682832
BC-EmbedEq,gastric ulcer,precision,1.0
BC-EmbedEq,gastric ulcer,recall,0.9428571428571428
BC-EmbedEq,gastric ulcer,f1,0.9705882352941176
BC-EmbedEq,gastric ulcer,accuracy,0.9960159362549801
BC-EmbedEq,gastric ulcer,specificity,1.0
BC-EmbedEq,gastric ulcer,kappa,0.9684534657198517
BC-Final,gastric ulcer,precision,1.0
BC-Final,gastric ulcer,recall,0.9428571428571428
BC-Final,gastric ulcer,f1,0.9705882352941176
BC-Final,gastric ulcer,accuracy,0.9960159362549801
BC-Final,gastric ulcer,specificity,1.0
BC-Final,gastric ulcer,kappa,0.9684534657198517
gpt,gastric ulcer,precision,1.0
gpt,gastric ulcer,recall,0.2857142857142857
gpt,gastric ulcer,f1,0.4444444444444445
gpt,gastric ulcer,accuracy,0.950199203187251
gpt,gastric ulcer,specificity,1.0
gpt,gastric ulcer,kappa,0.42667884878940193
grok,gastric ulcer,precision,1.0
grok,gastric ulcer,recall,0.3142857142857143
grok,gastric ulcer,f1,0.4782608695652174
grok,gastric ulcer,accuracy,0.952191235059761
grok,gastric ulcer,specificity,1.0
grok,gastric ulcer,kappa,0.460263417256519
gemini,gastric ulcer,precision,1.0
gemini,gastric ulcer,recall,0.8857142857142857
gemini,gastric ulcer,f1,0.9393939393939393
gemini,gastric ulcer,accuracy,0.9920318725099602
gemini,gastric ulcer,specificity,1.0
gemini,gastric ulcer,kappa,0.9351463083780118
llama,gastric ulcer,precision,1.0
llama,gastric ulcer,recall,0.6857142857142857
llama,gastric ulcer,f1,0.8135593220338984
llama,gastric ulcer,accuracy,0.9780876494023905
llama,gastric ulcer,specificity,1.0
llama,gastric ulcer,kappa,0.8023480564106238
BC-FuzzyEq,psoriasis,precision,1.0
BC-FuzzyEq,psoriasis,recall,0.3103448275862069
BC-FuzzyEq,psoriasis,f1,0.4736842105263158
BC-FuzzyEq,psoriasis,accuracy,0.9203187250996016
BC-FuzzyEq,psoriasis,specificity,1.0
BC-FuzzyEq,psoriasis,kappa,0.44321206743566977
BC-Curated,psoriasis,precision,1.0
BC-Curated,psoriasis,recall,0.05172413793103448
BC-Curated,psoriasis,f1,0.09836065573770492
BC-Curated,psoriasis,accuracy,0.8904382470119522
BC-Curated,psoriasis,specificity,1.0
BC-Curated,psoriasis,kappa,0.08799630045583626
BC-EmbedEq,psoriasis,precision,1.0
BC-EmbedEq,psoriasis,recall,0.5172413793103449
BC-EmbedEq,psoriasis,f1,0.6818181818181819
BC-EmbedEq,psoriasis,accuracy,0.9442231075697212
BC-EmbedEq,psoriasis,specificity,1.0
BC-EmbedEq,psoriasis,kappa,0.6546097896599177
BC-Final,psoriasis,precision,1.0
BC-Final,psoriasis,recall,0.5344827586206896
BC-Final,psoriasis,f1,0.6966292134831461
BC-Final,psoriasis,accuracy,0.9462151394422311
BC-Final,psoriasis,specificity,1.0
BC-Final,psoriasis,kappa,0.6700744851759899
gpt,psoriasis,precision,1.0
gpt,psoriasis,recall,0.46551724137931033
gpt,psoriasis,f1,0.6352941176470588
gpt,psoriasis,accuracy,0.9382470119521913
gpt,psoriasis,specificity,1.0
gpt,psoriasis,kappa,0.6064039658050486
grok,psoriasis,precision,1.0
grok,psoriasis,recall,0.3620689655172414
grok,psoriasis,f1,0.5316455696202532
grok,psoriasis,accuracy,0.9262948207171314
grok,psoriasis,specificity,1.0
grok,psoriasis,kappa,0.5009940357852879
gemini,psoriasis,precision,1.0
gemini,psoriasis,recall,0.4827586206896552
gemini,psoriasis,f1,0.6511627906976745
gemini,psoriasis,accuracy,0.9402390438247012
gemini,psoriasis,specificity,1.0
gemini,psoriasis,kappa,0.6227832882476708
llama,psoriasis,precision,1.0
llama,psoriasis,recall,0.3448275862068966
llama,psoriasis,f1,0.5128205128205129
llama,psoriasis,accuracy,0.9243027888446215
llama,psoriasis,specificity,1.0
llama,psoriasis,kappa,0.4821370398523181
BC-FuzzyEq,osteoarthritis,precision,1.0
BC-FuzzyEq,osteoarthritis,recall,0.4857142857142857
BC-FuzzyEq,osteoarthritis,f1,0.6538461538461539
BC-FuzzyEq,osteoarthritis,accuracy,0.9641434262948207
BC-FuzzyEq,osteoarthritis,specificity,1.0
BC-FuzzyEq,osteoarthritis,kappa,0.6373123544994784
BC-Curated,osteoarthritis,precision,1.0
BC-Curated,osteoarthritis,recall,0.17142857142857143
BC-Curated,osteoarthritis,f1,0.2926829268292683
