model,query,run,rows,latency
llama-3.3-70b-versatile,Which drugs are used to treat chronic myeloid leukemia?,1,5,0.438466789200902
llama-3.3-70b-versatile,Which drugs are used to treat chronic myeloid leukemia?,2,5,0.4984579663723707
llama-3.3-70b-versatile,Which drugs are used to treat chronic myeloid leukemia?,3,5,0.44019573368132114
llama-3.3-70b-versatile,Which drugs are used to treat chronic myeloid leukemia?,4,5,0.3961132541298866
llama-3.3-70b-versatile,Which drugs are used to treat chronic myeloid leukemia?,5,5,0.42807797715067863
llama-3.3-70b-versatile,Which drugs are used to treat Parkinson’s disease?,1,10,0.5102027840912342
llama-3.3-70b-versatile,Which drugs are used to treat Parkinson’s disease?,2,12,0.5883072167634964
llama-3.3-70b-versatile,Which drugs are used to treat Parkinson’s disease?,3,12,0.5607730280607939
llama-3.3-70b-versatile,Which drugs are used to treat Parkinson’s disease?,4,10,0.5299465488642454
llama-3.3-70b-versatile,Which drugs are used to treat Parkinson’s disease?,5,9,0.4696332849562168
llama-3.3-70b-versatile,Which drugs are used to treat inflammatory bowel disease?,1,9,0.5210488792508841
llama-3.3-70b-versatile,Which drugs are used to treat inflammatory bowel disease?,2,13,0.62886131554842
llama-3.3-70b-versatile,Which drugs are used to treat inflammatory bowel disease?,3,10,0.742556257173419
llama-3.3-70b-versatile,Which drugs are used to treat inflammatory bowel disease?,4,12,0.5492666885256767
llama-3.3-70b-versatile,Which drugs are used to treat inflammatory bowel disease?,5,9,0.5761305037885904
llama-3.3-70b-versatile,Which targets are acted on by imatinib?,1,4,0.3954459559172392
llama-3.3-70b-versatile,Which targets are acted on by imatinib?,2,4,0.38642444275319576
llama-3.3-70b-versatile,Which targets are acted on by imatinib?,3,4,0.4604891110211611
llama-3.3-70b-versatile,Which targets are acted on by imatinib?,4,4,0.4452347420156002
llama-3.3-70b-versatile,Which targets are acted on by imatinib?,5,4,0.4039370212703943
llama-3.3-70b-versatile,Which biological targets does sorafenib interact with?,1,6,0.42372105084359646
llama-3.3-70b-versatile,Which biological targets does sorafenib interact with?,2,10,0.5319420713931322
llama-3.3-70b-versatile,Which biological targets does sorafenib interact with?,3,7,0.5685692001134157
llama-3.3-70b-versatile,Which biological targets does sorafenib interact with?,4,5,0.4137959014624357
llama-3.3-70b-versatile,Which biological targets does sorafenib interact with?,5,5,0.461568433791399
llama-3.3-70b-versatile,Which biological targets does tofacitinib interact with?,1,4,0.44677319936454296
llama-3.3-70b-versatile,Which biological targets does tofacitinib interact with?,2,4,0.43314106203615665
llama-3.3-70b-versatile,Which biological targets does tofacitinib interact with?,3,4,0.5072417762130499
llama-3.3-70b-versatile,Which biological targets does tofacitinib interact with?,4,4,0.41919143684208393
llama-3.3-70b-versatile,Which biological targets does tofacitinib interact with?,5,4,0.44548240676522255
llama-3.3-70b-versatile,Which drugs target EGFR?,1,5,0.40854745730757713
llama-3.3-70b-versatile,Which drugs target EGFR?,2,5,0.5432080645114183
llama-3.3-70b-versatile,Which drugs target EGFR?,3,6,0.47207725793123245
llama-3.3-70b-versatile,Which drugs target EGFR?,4,7,0.59740618057549
llama-3.3-70b-versatile,Which drugs target EGFR?,5,5,0.3807774633169174
llama-3.3-70b-versatile,Which diseases are associated with TP53?,1,7,0.42288873717188835
llama-3.3-70b-versatile,Which diseases are associated with TP53?,2,9,0.45653355307877064
llama-3.3-70b-versatile,Which diseases are associated with TP53?,3,5,0.4044048972427845
llama-3.3-70b-versatile,Which diseases are associated with TP53?,4,5,0.35353933088481426
llama-3.3-70b-versatile,Which diseases are associated with TP53?,5,5,0.3558109737932682
llama-3.3-70b-versatile,Which diseases are associated with FGFR2?,1,4,0.49303456023335457
llama-3.3-70b-versatile,Which diseases are associated with FGFR2?,2,3,0.5264180041849613
llama-3.3-70b-versatile,Which diseases are associated with FGFR2?,3,8,0.5263402331620455
llama-3.3-70b-versatile,Which diseases are associated with FGFR2?,4,3,0.4315584357827902
llama-3.3-70b-versatile,Which diseases are associated with FGFR2?,5,7,0.4651655834168196
llama-3.3-70b-versatile,Which diseases are associated with HTT?,1,1,0.31252228654921055
llama-3.3-70b-versatile,Which diseases are associated with HTT?,2,1,0.3386191055178642
llama-3.3-70b-versatile,Which diseases are associated with HTT?,3,1,0.31787641532719135
llama-3.3-70b-versatile,Which diseases are associated with HTT?,4,1,0.38190177641808987
llama-3.3-70b-versatile,Which diseases are associated with HTT?,5,1,0.323985293507576
llama-3.3-70b-versatile,Which genes are associated with breast cancer?,1,5,0.38562571443617344
llama-3.3-70b-versatile,Which genes are associated with breast cancer?,2,5,0.3987154345959425
llama-3.3-70b-versatile,Which genes are associated with breast cancer?,3,5,0.43601665273308754
llama-3.3-70b-versatile,Which genes are associated with breast cancer?,4,5,0.3891752324998379
llama-3.3-70b-versatile,Which genes are associated with breast cancer?,5,5,0.367837680503726
llama-3.3-70b-versatile,Which genes are associated with colorectal cancer?,1,7,0.41995251178741455
llama-3.3-70b-versatile,Which genes are associated with colorectal cancer?,2,5,0.4374288432300091
llama-3.3-70b-versatile,Which genes are associated with colorectal cancer?,3,5,0.3794091362506151
llama-3.3-70b-versatile,Which genes are associated with colorectal cancer?,4,5,0.4189718794077635
llama-3.3-70b-versatile,Which genes are associated with colorectal cancer?,5,5,0.3728915750980377
llama-3.3-70b-versatile,Which genes are associated with cystic fibrosis?,1,1,0.29224698059260845
llama-3.3-70b-versatile,Which genes are associated with cystic fibrosis?,2,1,0.40279725939035416
llama-3.3-70b-versatile,Which genes are associated with cystic fibrosis?,3,1,0.3249680958688259
llama-3.3-70b-versatile,Which genes are associated with cystic fibrosis?,4,1,0.3588550239801407
llama-3.3-70b-versatile,Which genes are associated with cystic fibrosis?,5,1,0.3165770210325718
llama-3.3-70b-versatile,Which drugs are used to treat TNBC?,1,9,0.5199585389345884
llama-3.3-70b-versatile,Which drugs are used to treat TNBC?,2,9,0.5969962701201439
llama-3.3-70b-versatile,Which drugs are used to treat TNBC?,3,8,0.5199939850717783
llama-3.3-70b-versatile,Which drugs are used to treat TNBC?,4,8,0.5546497777104378
llama-3.3-70b-versatile,Which drugs are used to treat TNBC?,5,10,0.5420521982014179
llama-3.3-70b-versatile,Which diseases are treated with metformin?,1,4,0.4191233515739441
llama-3.3-70b-versatile,Which diseases are treated with metformin?,2,3,0.4120585098862648
llama-3.3-70b-versatile,Which diseases are treated with metformin?,3,3,0.46062118746340275
llama-3.3-70b-versatile,Which diseases are treated with metformin?,4,3,0.3858728129416704
llama-3.3-70b-versatile,Which diseases are treated with metformin?,5,4,0.4413235802203417
llama-3.3-70b-versatile,Which diseases are treated with adalimumab?,1,8,0.47594668343663216
llama-3.3-70b-versatile,Which diseases are treated with adalimumab?,2,8,0.5218087937682867
llama-3.3-70b-versatile,Which diseases are treated with adalimumab?,3,8,0.5025968514382839
llama-3.3-70b-versatile,Which diseases are treated with adalimumab?,4,8,0.5326866656541824
llama-3.3-70b-versatile,Which diseases are treated with adalimumab?,5,8,0.4752823878079653
llama-3.3-70b-versatile,For which diseases is pembrolizumab used?,1,10,0.6047834679484367
llama-3.3-70b-versatile,For which diseases is pembrolizumab used?,2,9,0.5913715660572052
llama-3.3-70b-versatile,For which diseases is pembrolizumab used?,3,13,0.7212465610355139
llama-3.3-70b-versatile,For which diseases is pembrolizumab used?,4,11,0.6177079807966948
llama-3.3-70b-versatile,For which diseases is pembrolizumab used?,5,7,0.4618970677256584
llama-3.3-70b-versatile,Which diseases are treated with sorafenib?,1,3,0.3728095181286335
llama-3.3-70b-versatile,Which diseases are treated with sorafenib?,2,3,0.384589109569788
llama-3.3-70b-versatile,Which diseases are treated with sorafenib?,3,4,0.3982884157449007
llama-3.3-70b-versatile,Which diseases are treated with sorafenib?,4,3,0.3714144919067621
llama-3.3-70b-versatile,Which diseases are treated with sorafenib?,5,3,0.4751927126199007
llama-3.3-70b-versatile,Which diseases are treated with nivolumab?,1,10,0.6772297844290733
llama-3.3-70b-versatile,Which diseases are treated with nivolumab?,2,7,0.45503914915025234
llama-3.3-70b-versatile,Which diseases are treated with nivolumab?,3,9,0.497980372980237
llama-3.3-70b-versatile,Which diseases are treated with nivolumab?,4,8,0.49062054231762886
llama-3.3-70b-versatile,Which diseases are treated with nivolumab?,5,10,0.6421673968434334
llama-3.3-70b-versatile,Which genes are associated with multiple sclerosis?,1,16,0.7413398511707783
llama-3.3-70b-versatile,Which genes are associated with multiple sclerosis?,2,5,0.41134241595864296
llama-3.3-70b-versatile,Which genes are associated with multiple sclerosis?,3,17,0.7048919647932053
llama-3.3-70b-versatile,Which genes are associated with multiple sclerosis?,4,9,0.5556812733411789
llama-3.3-70b-versatile,Which genes are associated with multiple sclerosis?,5,5,0.46285161189734936
llama-3.3-70b-versatile,Which genes are associated with rheumatoid arthritis?,1,10,0.5185034517198801
llama-3.3-70b-versatile,Which genes are associated with rheumatoid arthritis?,2,8,0.5229225512593985
llama-3.3-70b-versatile,Which genes are associated with rheumatoid arthritis?,3,5,0.4172194544225931
llama-3.3-70b-versatile,Which genes are associated with rheumatoid arthritis?,4,5,0.4140855763107538
llama-3.3-70b-versatile,Which genes are associated with rheumatoid arthritis?,5,10,0.5058990195393562
llama-3.3-70b-versatile,What are the known targets of abatacept?,1,2,0.33509968407452106
llama-3.3-70b-versatile,What are the known targets of abatacept?,2,2,0.42356281727552414
llama-3.3-70b-versatile,What are the known targets of abatacept?,3,2,0.3437024224549532
llama-3.3-70b-versatile,What are the known targets of abatacept?,4,2,0.3561594672501087
llama-3.3-70b-versatile,What are the known targets of abatacept?,5,2,0.32450204715132713
llama-3.3-70b-versatile,Which genes are associated with lung cancer?,1,10,0.45547095127403736
llama-3.3-70b-versatile,Which genes are associated with lung cancer?,2,9,0.4498417414724827
llama-3.3-70b-versatile,Which genes are associated with lung cancer?,3,10,0.4764424283057451
llama-3.3-70b-versatile,Which genes are associated with lung cancer?,4,5,0.4893189035356045
llama-3.3-70b-versatile,Which genes are associated with lung cancer?,5,10,0.439503762871027
llama-3.3-70b-versatile,What are the known targets of ponatinib?,1,14,0.5937619358301163
llama-3.3-70b-versatile,What are the known targets of ponatinib?,2,13,0.5895707961171865
llama-3.3-70b-versatile,What are the known targets of ponatinib?,3,16,0.6270220372825861
llama-3.3-70b-versatile,What are the known targets of ponatinib?,4,16,0.6491188444197178
llama-3.3-70b-versatile,What are the known targets of ponatinib?,5,12,0.530553663149476
llama-3.3-70b-versatile,Which drugs are used to treat systemic lupus erythematosus?,1,8,0.659002773463726
llama-3.3-70b-versatile,Which drugs are used to treat systemic lupus erythematosus?,2,7,0.5478915330022573
llama-3.3-70b-versatile,Which drugs are used to treat systemic lupus erythematosus?,3,6,0.5343974661082029
llama-3.3-70b-versatile,Which drugs are used to treat systemic lupus erythematosus?,4,3,0.3811327014118433
llama-3.3-70b-versatile,Which drugs are used to treat systemic lupus erythematosus?,5,4,0.46808413974940777
llama-3.3-70b-versatile,Which genes are associated with autism spectrum disorder?,1,10,0.5287304725497961
llama-3.3-70b-versatile,Which genes are associated with autism spectrum disorder?,2,8,0.47909762524068356
llama-3.3-70b-versatile,Which genes are associated with autism spectrum disorder?,3,7,0.439216835424304
llama-3.3-70b-versatile,Which genes are associated with autism spectrum disorder?,4,9,0.5398276410996914
llama-3.3-70b-versatile,Which genes are associated with autism spectrum disorder?,5,10,0.5146523639559746
llama-3.3-70b-versatile,Which diseases are associated with the ROS1 gene?,1,4,0.40799160301685333
llama-3.3-70b-versatile,Which diseases are associated with the ROS1 gene?,2,5,0.44966556318104267
llama-3.3-70b-versatile,Which diseases are associated with the ROS1 gene?,3,5,0.4631309751421213
llama-3.3-70b-versatile,Which diseases are associated with the ROS1 gene?,4,6,0.49268558993935585
llama-3.3-70b-versatile,Which diseases are associated with the ROS1 gene?,5,6,0.4805506709963083
llama-3.3-70b-versatile,Which diseases are associated with the ALK gene?,1,3,0.3961641266942024
llama-3.3-70b-versatile,Which diseases are associated with the ALK gene?,2,3,0.5673337187618017
llama-3.3-70b-versatile,Which diseases are associated with the ALK gene?,3,3,0.3694102056324482
llama-3.3-70b-versatile,Which diseases are associated with the ALK gene?,4,3,0.41147814504802227
llama-3.3-70b-versatile,Which diseases are associated with the ALK gene?,5,3,0.361953629180789
llama-3.3-70b-versatile,Which diseases are associated with the EGFR gene?,1,5,0.3915838710963726
llama-3.3-70b-versatile,Which diseases are associated with the EGFR gene?,2,5,0.4169922936707735
llama-3.3-70b-versatile,Which diseases are associated with the EGFR gene?,3,5,0.4545155670493841
llama-3.3-70b-versatile,Which diseases are associated with the EGFR gene?,4,4,0.3593057841062546
llama-3.3-70b-versatile,Which diseases are associated with the EGFR gene?,5,5,0.4001593664288521
llama-3.3-70b-versatile,Which genes are associated with psoriasis?,1,5,0.3991689160466194
llama-3.3-70b-versatile,Which genes are associated with psoriasis?,2,11,0.6787945553660393
llama-3.3-70b-versatile,Which genes are associated with psoriasis?,3,11,0.49342769011855125
llama-3.3-70b-versatile,Which genes are associated with psoriasis?,4,10,0.5987414214760065
llama-3.3-70b-versatile,Which genes are associated with psoriasis?,5,16,0.6690527815371752
llama-3.3-70b-versatile,Which genes are associated with ulcerative colitis?,1,9,0.6719283182173967
llama-3.3-70b-versatile,Which genes are associated with ulcerative colitis?,2,10,0.5160217620432377
llama-3.3-70b-versatile,Which genes are associated with ulcerative colitis?,3,14,0.6669150833040476
llama-3.3-70b-versatile,Which genes are associated with ulcerative colitis?,4,10,0.6029902510344982
llama-3.3-70b-versatile,Which genes are associated with ulcerative colitis?,5,8,0.4789521563798189
llama-3.3-70b-versatile,Which genes are associated with hepatitis C?,1,4,0.40301530808210373
llama-3.3-70b-versatile,Which genes are associated with hepatitis C?,2,5,0.4294795896857977
llama-3.3-70b-versatile,Which genes are associated with hepatitis C?,3,5,0.4100203104317188
llama-3.3-70b-versatile,Which genes are associated with hepatitis C?,4,5,0.42477261275053024
llama-3.3-70b-versatile,Which genes are associated with hepatitis C?,5,8,0.5178569722920656
llama-3.3-70b-versatile,Which genes are associated with Hodgkin lymphoma?,1,11,0.6293995603919029
llama-3.3-70b-versatile,Which genes are associated with Hodgkin lymphoma?,2,7,0.5137441512197256
llama-3.3-70b-versatile,Which genes are associated with Hodgkin lymphoma?,3,9,0.47950804233551025
llama-3.3-70b-versatile,Which genes are associated with Hodgkin lymphoma?,4,12,0.5365351401269436
llama-3.3-70b-versatile,Which genes are associated with Hodgkin lymphoma?,5,22,0.8106532413512468
llama-3.3-70b-versatile,Which pathways are associated with TP53?,1,5,0.49830809980630875
llama-3.3-70b-versatile,Which pathways are associated with TP53?,2,5,0.41758381947875023
llama-3.3-70b-versatile,Which pathways are associated with TP53?,3,4,0.4717214107513428
llama-3.3-70b-versatile,Which pathways are associated with TP53?,4,5,0.4198826737701893
llama-3.3-70b-versatile,Which pathways are associated with TP53?,5,5,0.42507204227149487
llama-3.3-70b-versatile,Which drugs target ERBB2?,1,3,0.4437415190041065
llama-3.3-70b-versatile,Which drugs target ERBB2?,2,7,0.6678803768008947
llama-3.3-70b-versatile,Which drugs target ERBB2?,3,3,0.4036044795066118
llama-3.3-70b-versatile,Which drugs target ERBB2?,4,5,0.6045585684478283
llama-3.3-70b-versatile,Which drugs target ERBB2?,5,3,0.41401139460504055
llama-3.3-70b-versatile,Which pathways are associated with the ADRB1 gene?,1,7,0.599375993013382
