gene_symbol,gene_full_name
ALPP,"alkaline phosphatase, placental"
AMACR,alpha-methylacyl-CoA racemase
AMD1,adenosylmethionine decarboxylase 1
AMDHD2,amidohydrolase domain containing 2
AMELX,amelogenin X-linked
AMELY,amelogenin Y-linked
AMFR,autocrine motility factor receptor
AMH,anti-Mullerian hormone
AMHR2,anti-Mullerian hormone receptor type 2
AMN,amnion associated transmembrane protein
AMOT,angiomotin
AMPD1,adenosine monophosphate deaminase 1
AMPD2,adenosine monophosphate deaminase 2
AMPD3,adenosine monophosphate deaminase 3
AMPH,amphiphysin
AMT,aminomethyltransferase
AMY1A,amylase alpha 1A
AMY1B,amylase alpha 1B
AMY1C,amylase alpha 1C
AMY2A,amylase alpha 2A
AMY2B,amylase alpha 2B
ANG,angiogenin
ANGPT1,angiopoietin 1
ANGPT2,angiopoietin 2
ANK1,ankyrin 1
ANK2,ankyrin 2
ANK3,ankyrin 3
ANKFN1,ankyrin repeat and fibronectin type III domain containing 1
ANKK1,ankyrin repeat and kinase domain containing 1
ANKS1B,ankyrin repeat and sterile alpha motif domain containing 1B
ANO1,anoctamin 1
ANO2,anoctamin 2
ANPEP,"alanyl aminopeptidase, membrane"
ANTXR2,ANTXR cell adhesion molecule 2
ANXA1,annexin A1
ANXA11,annexin A11
ANXA13,annexin A13
ANXA2,annexin A2
ANXA3,annexin A3
ANXA4,annexin A4
ANXA5,annexin A5
ANXA6,annexin A6
ANXA7,annexin A7
AOAH,acyloxyacyl hydrolase
AOC1,amine oxidase copper containing 1
AOC2,amine oxidase copper containing 2
AOC3,amine oxidase copper containing 3
AOX1,aldehyde oxidase 1
AP1B1,adaptor related protein complex 1 subunit beta 1
AP1S2,adaptor related protein complex 1 subunit sigma 2
AP2M1,adaptor related protein complex 2 subunit mu 1
AP4S1,adaptor related protein complex 4 subunit sigma 1
APAF1,apoptotic peptidase activating factor 1
APBA1,amyloid beta precursor protein binding family A member 1
APBA2,amyloid beta precursor protein binding family A member 2
APBB1,amyloid beta precursor protein binding family B member 1
APBB1IP,amyloid beta precursor protein binding family B member 1 interacting protein
APBB2,amyloid beta precursor protein binding family B member 2
APC,APC regulator of Wnt signaling pathway
APCS,"amyloid P component, serum"
APEH,acylaminoacyl-peptide hydrolase
APEX1,apurinic/apyrimidinic endodeoxyribonuclease 1
APH1A,aph-1A gamma-secretase subunit
APH1B,aph-1B gamma-secretase subunit
APLN,apelin
APLNR,apelin receptor
APLP1,amyloid beta precursor like protein 1
APLP2,amyloid beta precursor like protein 2
APOA1,apolipoprotein A1
APOA2,apolipoprotein A2
APOA4,apolipoprotein A4
APOA5,apolipoprotein A5
APOB,apolipoprotein B
APOBEC1,apolipoprotein B mRNA editing enzyme catalytic subunit 1
APOBEC3A,apolipoprotein B mRNA editing enzyme catalytic subunit 3A
APOBEC3F,apolipoprotein B mRNA editing enzyme catalytic subunit 3F
APOBEC3G,apolipoprotein B mRNA editing enzyme catalytic subunit 3G
APOBR,apolipoprotein B receptor
APOC1,apolipoprotein C1
APOC2,apolipoprotein C2
APOC3,apolipoprotein C3
APOC4,apolipoprotein C4
APOD,apolipoprotein D
APOE,apolipoprotein E
APOF,apolipoprotein F
APOH,apolipoprotein H
APOL1,apolipoprotein L1
APOM,apolipoprotein M
APP,amyloid beta precursor protein
APRT,adenine phosphoribosyltransferase
AQP1,aquaporin 1 (Colton blood group)
AQP2,aquaporin 2
AQP3,aquaporin 3 (Gill blood group)
AQP4,aquaporin 4
AQP5,aquaporin 5
AQP6,aquaporin 6
AQP7,aquaporin 7
AQP8,aquaporin 8
AQP9,aquaporin 9
AR,androgen receptor
ARAF,"A-Raf proto-oncogene, serine/threonine kinase"
ARAP1,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1"
ARCN1,archain 1 coat protein complex I subunit delta
AREG,amphiregulin
ARF1,ARF GTPase 1
ARF5,ARF GTPase 5
ARF6,ARF GTPase 6
ARG1,arginase 1
ARG2,arginase 2
ARHGAP1,Rho GTPase activating protein 1
ARHGAP12,Rho GTPase activating protein 12
ARHGAP35,Rho GTPase activating protein 35
ARHGAP4,Rho GTPase activating protein 4
ARHGAP5,Rho GTPase activating protein 5
ARHGAP6,Rho GTPase activating protein 6
ARHGAP9,Rho GTPase activating protein 9
ARHGDIA,Rho GDP dissociation inhibitor alpha
ARHGEF10,Rho guanine nucleotide exchange factor 10
ARHGEF12,Rho guanine nucleotide exchange factor 12
ARHGEF28,Rho guanine nucleotide exchange factor 28
ARID1A,AT-rich interaction domain 1A
ARID4A,AT-rich interaction domain 4A
ARID5B,AT-rich interaction domain 5B
ARL1,ARF like GTPase 1
ARL2,ARF like GTPase 2
ARL3,ARF like GTPase 3
ARNT,aryl hydrocarbon receptor nuclear translocator
ARPC1B,actin related protein 2/3 complex subunit 1B
ARPC2,actin related protein 2/3 complex subunit 2
ARPC3,actin related protein 2/3 complex subunit 3
ARPC4,actin related protein 2/3 complex subunit 4
ARPC5,actin related protein 2/3 complex subunit 5
ARR3,arrestin 3
ARRB1,arrestin beta 1
ARRB2,arrestin beta 2
ARSA,arylsulfatase A
ARSB,arylsulfatase B
ARSD,arylsulfatase D
ARSF,arylsulfatase F
ARSL,arylsulfatase L
ART1,ADP-ribosyltransferase 1
ART3,ADP-ribosyltransferase 3 (inactive)
ART4,ADP-ribosyltransferase 4 (inactive) (Dombrock blood group)
ARVCF,ARVCF delta catenin family member
AS3MT,arsenite methyltransferase
ASAH1,N-acylsphingosine amidohydrolase 1
ASAH2,N-acylsphingosine amidohydrolase 2
ASAP1,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1"
ASCL1,achaete-scute family bHLH transcription factor 1
ASF1A,anti-silencing function 1A histone chaperone
ASGR1,asialoglycoprotein receptor 1
ASGR2,asialoglycoprotein receptor 2
ASH1L,ASH1 like histone lysine methyltransferase
ASH2L,"ASH2 like, histone lysine methyltransferase complex subunit"
ASIC1,acid sensing ion channel subunit 1
ASIC2,acid sensing ion channel subunit 2
ASIC3,acid sensing ion channel subunit 3
ASIP,agouti signaling protein
ASL,argininosuccinate lyase
ASMT,acetylserotonin O-methyltransferase
ASNS,asparagine synthetase (glutamine-hydrolyzing)
ASPA,aspartoacylase
ASPG,asparaginase
ASPH,aspartate beta-hydroxylase
ASRGL1,asparaginase and isoaspartyl peptidase 1
ASS1,argininosuccinate synthase 1
ASTN2,astrotactin 2
ATAD2,ATPase family AAA domain containing 2
ATAD2B,ATPase family AAA domain containing 2B
ATAD5,ATPase family AAA domain containing 5
ATAT1,alpha tubulin acetyltransferase 1
ATF1,activating transcription factor 1
ATF2,activating transcription factor 2
ATF3,activating transcription factor 3
ATF4,activating transcription factor 4
ATF5,activating transcription factor 5
ATF6,activating transcription factor 6
ATF6B,activating transcription factor 6 beta
ATF7,activating transcription factor 7
ATG4A,autophagy related 4A cysteine peptidase
ATG4B,autophagy related 4B cysteine peptidase
ATG7,autophagy related 7
ATIC,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
ATM,ATM serine/threonine kinase
ATN1,atrophin 1
ATOX1,antioxidant 1 copper chaperone
ATP10A,ATPase phospholipid transporting 10A (putative)
ATP12A,ATPase H+/K+ transporting non-gastric alpha2 subunit
ATP1A1,ATPase Na+/K+ transporting subunit alpha 1
ATP1A2,ATPase Na+/K+ transporting subunit alpha 2
ATP1A3,ATPase Na+/K+ transporting subunit alpha 3
ATP1A4,ATPase Na+/K+ transporting subunit alpha 4
ATP1B1,ATPase Na+/K+ transporting subunit beta 1
ATP1B2,ATPase Na+/K+ transporting subunit beta 2
ATP1B3,ATPase Na+/K+ transporting subunit beta 3
ATP2A1,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1
ATP2A2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
ATP2A3,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3
ATP2B1,ATPase plasma membrane Ca2+ transporting 1
ATP2B2,ATPase plasma membrane Ca2+ transporting 2
ATP2B3,ATPase plasma membrane Ca2+ transporting 3
ATP2B4,ATPase plasma membrane Ca2+ transporting 4
ATP2C1,ATPase secretory pathway Ca2+ transporting 1
ATP2C2,ATPase secretory pathway Ca2+ transporting 2
ATP4A,ATPase H+/K+ transporting subunit alpha
ATP4B,ATPase H+/K+ transporting subunit beta
ATP5F1A,ATP synthase F1 subunit alpha
ATP5F1B,ATP synthase F1 subunit beta
ATP5F1C,ATP synthase F1 subunit gamma
ATP5F1D,ATP synthase F1 subunit delta
ATP5F1E,ATP synthase F1 subunit epsilon
ATP5MC1,ATP synthase membrane subunit c locus 1
ATP5MC2,ATP synthase membrane subunit c locus 2
ATP5ME,ATP synthase membrane subunit e
ATP5MG,ATP synthase membrane subunit g
ATP5PB,ATP synthase peripheral stalk-membrane subunit b
ATP5PF,ATP synthase peripheral stalk subunit F6
ATP5PO,ATP synthase peripheral stalk subunit OSCP
ATP6AP1,ATPase H+ transporting accessory protein 1
ATP6V0A1,ATPase H+ transporting V0 subunit a1
ATP6V0A2,ATPase H+ transporting V0 subunit a2
ATP6V0A4,ATPase H+ transporting V0 subunit a4
ATP6V0B,ATPase H+ transporting V0 subunit b
ATP6V0C,ATPase H+ transporting V0 subunit c
ATP6V0D1,ATPase H+ transporting V0 subunit d1
ATP6V0D2,ATPase H+ transporting V0 subunit d2
ATP6V0E1,ATPase H+ transporting V0 subunit e1
ATP6V0E2,ATPase H+ transporting V0 subunit e2
ATP6V1A,ATPase H+ transporting V1 subunit A
ATP6V1B1,ATPase H+ transporting V1 subunit B1
ATP6V1B2,ATPase H+ transporting V1 subunit B2
ATP6V1C1,ATPase H+ transporting V1 subunit C1
ATP6V1C2,ATPase H+ transporting V1 subunit C2
ATP6V1D,ATPase H+ transporting V1 subunit D
ATP6V1E1,ATPase H+ transporting V1 subunit E1
ATP6V1E2,ATPase H+ transporting V1 subunit E2
ATP6V1F,ATPase H+ transporting V1 subunit F
ATP6V1G1,ATPase H+ transporting V1 subunit G1
ATP6V1G2,ATPase H+ transporting V1 subunit G2
ATP6V1G3,ATPase H+ transporting V1 subunit G3
ATP6V1H,ATPase H+ transporting V1 subunit H
ATP7A,ATPase copper transporting alpha
ATP7B,ATPase copper transporting beta
ATP8A1,ATPase phospholipid transporting 8A1
ATP8B1,ATPase phospholipid transporting 8B1
ATR,ATR checkpoint kinase
ATRIP,ATR interacting protein
ATRX,ATRX chromatin remodeler
ATXN2,ataxin 2
AURKA,aurora kinase A
AURKAIP1,aurora kinase A interacting protein 1
AURKB,aurora kinase B
AURKC,aurora kinase C
AVPR1A,arginine vasopressin receptor 1A
AVPR1B,arginine vasopressin receptor 1B
AVPR2,arginine vasopressin receptor 2
AWAT1,acyl-CoA wax alcohol acyltransferase 1
AWAT2,acyl-CoA wax alcohol acyltransferase 2
AXIN1,axin 1
AXIN2,axin 2
AXL,AXL receptor tyrosine kinase
AZGP1,"alpha-2-glycoprotein 1, zinc-binding"
AZI2,5-azacytidine induced 2
AZIN2,antizyme inhibitor 2
B2M,beta-2-microglobulin
B3GALT1,"beta-1,3-galactosyltransferase 1"
B3GAT1,"beta-1,3-glucuronyltransferase 1"
B3GAT3,"beta-1,3-glucuronyltransferase 3"
B4GALT1,"beta-1,4-galactosyltransferase 1"
B4GALT2,"beta-1,4-galactosyltransferase 2"
B4GALT4,"beta-1,4-galactosyltransferase 4"
BAAT,bile acid-CoA:amino acid N-acyltransferase
BACE1,beta-secretase 1
BACE2,beta-secretase 2
BACH1,BTB domain and CNC homolog 1
BAD,BCL2 associated agonist of cell death
BAG1,BAG cochaperone 1
BAG6,BAG cochaperone 6
BAHD1,bromo adjacent homology domain containing 1
BAK1,BCL2 antagonist/killer 1
BAP1,BRCA1 associated deubiquitinase 1
BARD1,BRCA1 associated RING domain 1
BAX,"BCL2 associated X, apoptosis regulator"
BAZ1A,bromodomain adjacent to zinc finger domain 1A
BAZ2A,bromodomain adjacent to zinc finger domain 2A
BAZ2B,bromodomain adjacent to zinc finger domain 2B
BBC3,BCL2 binding component 3
BBOX1,gamma-butyrobetaine hydroxylase 1
BBS1,Bardet-Biedl syndrome 1
BBS2,Bardet-Biedl syndrome 2
BBS4,Bardet-Biedl syndrome 4
BCAR1,"BCAR1 scaffold protein, Cas family member"
BCAR3,"BCAR3 adaptor protein, NSP family member"
BCAT1,branched chain amino acid transaminase 1
BCAT2,branched chain amino acid transaminase 2
BCHE,butyrylcholinesterase
BCKDHA,branched chain keto acid dehydrogenase E1 subunit alpha
BCKDHB,branched chain keto acid dehydrogenase E1 subunit beta
BCKDK,branched chain keto acid dehydrogenase kinase
BCL2,BCL2 apoptosis regulator
BCL2A1,BCL2 related protein A1
BCL2L1,BCL2 like 1
BCL2L10,BCL2 like 10
BCL2L11,BCL2 like 11
BCL2L2,BCL2 like 2
BCL3,BCL3 transcription coactivator
BCL6,BCL6 transcription repressor
BCL7A,BAF chromatin remodeling complex subunit BCL7A
BCL9,BCL9 transcription coactivator
BCO1,beta-carotene oxygenase 1
BCOR,BCL6 corepressor
BCR,BCR activator of RhoGEF and GTPase
BDH1,3-hydroxybutyrate dehydrogenase 1
BDKRB1,bradykinin receptor B1
BDKRB2,bradykinin receptor B2
BDNF,brain derived neurotrophic factor
BDNF-AS,BDNF antisense RNA
BECN1,beclin 1
BEST3,bestrophin 3
BFSP1,beaded filament structural protein 1
BGLAP,bone gamma-carboxyglutamate protein
BGN,biglycan
BHLHE40,basic helix-loop-helix family member e40
BHMT,betaine--homocysteine S-methyltransferase
BHMT2,betaine--homocysteine S-methyltransferase 2
BICD1,BICD cargo adaptor 1
BID,BH3 interacting domain death agonist
BIK,BCL2 interacting killer
BIN1,bridging integrator 1
BIRC2,baculoviral IAP repeat containing 2
BIRC3,baculoviral IAP repeat containing 3
BIRC5,baculoviral IAP repeat containing 5
BIRC6,baculoviral IAP repeat containing 6
BIRC7,baculoviral IAP repeat containing 7
BIRC8,baculoviral IAP repeat containing 8
BLK,"BLK proto-oncogene, Src family tyrosine kinase"
BLM,BLM RecQ like helicase
BLMH,bleomycin hydrolase
BLVRA,biliverdin reductase A
BLVRB,biliverdin reductase B
BMAL1,basic helix-loop-helix ARNT like 1
BMI1,"BMI1 proto-oncogene, polycomb ring finger"
BMP1,bone morphogenetic protein 1
BMP2,bone morphogenetic protein 2
BMP2K,BMP2 inducible kinase
BMP4,bone morphogenetic protein 4
BMP5,bone morphogenetic protein 5
BMP6,bone morphogenetic protein 6
BMP7,bone morphogenetic protein 7
BMPR1A,bone morphogenetic protein receptor type 1A
BMPR1B,bone morphogenetic protein receptor type 1B
BMPR2,bone morphogenetic protein receptor type 2
BMX,BMX non-receptor tyrosine kinase
BNC1,basonuclin zinc finger protein 1
BNIP1,BCL2 interacting protein 1
BNIP2,BCL2 interacting protein 2
BNIP3,BCL2 interacting protein 3
BNIP3L,BCL2 interacting protein 3 like
BOK,BCL2 family apoptosis regulator BOK
BPGM,bisphosphoglycerate mutase
BPHL,biphenyl hydrolase like
BPI,bactericidal permeability increasing protein
BPTF,bromodomain PHD finger transcription factor
BRAF,"B-Raf proto-oncogene, serine/threonine kinase"
BRCA1,BRCA1 DNA repair associated
BRCA2,BRCA2 DNA repair associated
BRCC3,BRCA1/BRCA2-containing complex subunit 3
BRD1,bromodomain containing 1
BRD2,bromodomain containing 2
BRD3,bromodomain containing 3
